ea_id,first_name,last_name,full_name,overall,pac,sho,pas,dri,def,phy,fetched_at
231747,Kylian,Mbappé,Kylian Mbappé,91,97,90,81,92,37,76,2026-08-12 11:55:15
231443,Ousmane,Dembélé,Ousmane Dembélé,90,91,88,83,93,50,69,2026-08-12 11:55:15
246272,Marie,Katoto,Marie Katoto,88,85,87,77,84,39,74,2026-08-12 11:55:15
227361,Kadidiatou,Diani,Kadidiatou Diani,88,92,85,81,88,56,79,2026-08-12 11:55:15
233662,Sakina,Karchaoui,Sakina Karchaoui,87,89,76,87,88,77,69,2026-08-12 11:55:15
241486,Jules,Koundé,Jules Koundé,87,84,47,74,79,86,84,2026-08-12 11:55:15
243715,William,Saliba,William Saliba,87,77,39,68,72,87,83,2026-08-12 11:55:15
215698,Mike,Maignan,Mike Maignan,87,84,83,85,88,64,84,2026-08-12 11:55:15
237197,Grace,Geyoro,Grace Geyoro,86,89,73,82,83,82,80,2026-08-12 11:55:15
247827,Michael,Olise,Michael Olise,86,78,80,84,87,50,66,2026-08-12 11:55:15
237678,Ibrahima,Konaté,Ibrahima Konaté,86,77,34,63,69,86,85,2026-08-12 11:55:15
265674,Selma,Bacha,Selma Bacha,85,88,73,85,82,78,80,2026-08-12 11:55:15
261733,Sandy,Baltimore,Sandy Baltimore,85,87,74,84,86,72,69,2026-08-12 11:55:15
194765,Antoine,Griezmann,Antoine Griezmann,85,77,86,85,88,59,73,2026-08-12 11:55:15
245697,Clara,Mateo,Clara Mateo,85,87,86,80,84,56,75,2026-08-12 11:55:15
215914,N'Golo,Kanté,N'Golo Kanté,85,77,65,73,80,85,79,2026-08-12 11:55:15
271421,Désiré,Doué,Désiré Doué,85,83,80,77,90,55,74,2026-08-12 11:55:15
228093,Marcus,Thuram,Marcus Thuram,85,86,83,76,82,50,80,2026-08-12 11:55:15
165153,Karim,Benzema,Karim Benzema,85,75,84,81,83,38,77,2026-08-12 11:55:15
232202,Delphine,Cascarino,Delphine Cascarino,85,93,75,79,88,38,61,2026-08-12 11:55:15
229558,Dayot,Upamecano,Dayot Upamecano,85,77,45,64,73,84,84,2026-08-12 11:55:15
227316,Wendie,Renard,Wendie Renard,85,48,62,70,69,87,83,2026-08-12 11:55:15
232656,Theo,Hernández,Theo Hernández,84,90,76,78,83,79,83,2026-08-12 11:55:15
241637,Aurélien,Tchouaméni,Aurélien Tchouaméni,84,71,69,79,78,81,82,2026-08-12 11:55:15
226851,Benjamin,Pavard,Benjamin Pavard,84,75,67,76,75,86,79,2026-08-12 11:55:15
264652,Bradley,Barcola,Bradley Barcola,84,90,77,78,84,39,66,2026-08-12 11:55:15
241852,Moussa,Diaby,Moussa Diaby,84,95,75,77,87,44,54,2026-08-12 11:55:15
210008,Adrien,Rabiot,Adrien Rabiot,83,81,79,81,80,77,84,2026-08-12 11:55:15
248243,Eduardo,Camavinga,Eduardo Camavinga,83,80,68,81,84,78,80,2026-08-12 11:55:15
227353,Kenza,Dali,Kenza Dali,83,73,79,82,85,68,73,2026-08-12 11:55:15
246178,Pauline,Peyraud-Magnin,Pauline Peyraud-Magnin,83,80,80,82,84,47,83,2026-08-12 11:55:15
251752,Lucas,Chevalier,Lucas Chevalier,83,84,79,73,86,50,80,2026-08-12 11:55:15
236987,Boubacar,Kamara,Boubacar Kamara,83,64,55,74,75,83,80,2026-08-12 11:55:15
257289,Hugo,Ekitiké,Hugo Ekitiké,83,86,78,69,85,33,73,2026-08-12 11:55:15
213345,Kingsley,Coman,Kingsley Coman,83,87,75,79,87,30,61,2026-08-12 11:55:15
227346,Griedge,Mbock,Griedge Mbock,83,64,55,66,66,84,83,2026-08-12 11:55:15
236496,Mattéo,Guendouzi,Mattéo Guendouzi,82,72,73,80,80,77,77,2026-08-12 11:55:15
264895,Constance,Picaud,Constance Picaud,82,82,79,76,85,47,82,2026-08-12 11:55:15
227348,Viviane,Asseyi,Viviane Asseyi,82,88,82,77,81,50,71,2026-08-12 11:55:15
241545,Ouleymata,Sarr,Ouleymata Sarr,82,87,77,77,83,45,78,2026-08-12 11:55:15
258706,Melvine,Malard,Melvine Malard,82,81,81,79,84,41,67,2026-08-12 11:55:15
236461,Jean-Philippe,Mateta,Jean-Philippe Mateta,82,75,84,70,77,41,81,2026-08-12 11:55:15
264864,Kessya,Bussy,Kessya Bussy,82,84,79,76,85,43,58,2026-08-12 11:55:15
265849,Maëlle,Lakrar,Maëlle Lakrar,82,74,46,67,70,83,77,2026-08-12 11:55:15
247246,Khéphren,Thuram,Khéphren Thuram,81,78,76,77,80,81,81,2026-08-12 11:55:15
227344,Sandie,Toletti,Sandie Toletti,81,78,76,83,80,71,76,2026-08-12 11:55:15
228618,Ferland,Mendy,Ferland Mendy,81,85,64,74,75,78,84,2026-08-12 11:55:15
264963,Daphne,Corboz,Daphne Corboz,81,69,75,80,82,75,79,2026-08-12 11:55:15
219683,Corentin,Tolisso,Corentin Tolisso,81,68,78,78,76,77,79,2026-08-12 11:55:15
245630,Youssouf,Fofana,Youssouf Fofana,81,68,68,75,78,79,77,2026-08-12 11:55:15
265861,Maëlle,Garbino,Maëlle Garbino,81,79,79,79,82,53,63,2026-08-12 11:55:15
265860,Julie,Dufour,Julie Dufour,81,84,77,78,82,51,61,2026-08-12 11:55:15
256095,Perle,Morroni,Perle Morroni,81,84,45,76,79,77,67,2026-08-12 11:55:15
264968,Mathilde,Bourdieu,Mathilde Bourdieu,81,83,82,70,80,36,76,2026-08-12 11:55:15
