player_id,short_name,long_name,overall,potential,age,club_name,nationality_name,league_name,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physic,skill_moves,weak_foot,player_positions,player_face_url,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,gk_speed,is_gk
19541,G. Morris,Glenn James Morris,61,61,41,Gillingham,England,League Two,35000,,,,,,,,1,3,GK,https://cdn.sofifa.net/players/019/541/26_120.png,60,59,57,63,62,31,1
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,85,85,40,Al Nassr,Portugal,Pro League,0,,76,88,76,80,34,76,5,4,ST,https://cdn.sofifa.net/players/020/801/26_120.png,,,,,,,
25798,R. Santa Cruz,Roque Luis Santa Cruz Cantero,69,69,43,Libertad,Paraguay,División Profesional,0,,31,74,60,61,36,63,3,3,ST,https://cdn.sofifa.net/players/025/798/26_120.png,,,,,,,
52679,J. Murphy,Joseph Murphy,57,57,43,Tranmere Rovers,Republic of Ireland,League Two,20000,,,,,,,,1,3,GK,https://cdn.sofifa.net/players/052/679/26_120.png,56,57,56,58,56,27,1
53110,C. Gordon,Craig Sinclair Gordon,67,67,42,Hearts,Scotland,Premiership,110000,,,,,,,,1,3,GK,https://cdn.sofifa.net/players/053/110/26_120.png,67,66,63,66,68,26,1
69957,J. Elordi,Juan Manuel Elordi,69,69,30,Rosario Central,Argentina,Liga Profesional de Fútbol,1200000,,60,45,64,68,71,58,2,3,"LB, LM",https://cdn.sofifa.net/players/069/957/26_120.png,,,,,,,
69963,A. Alaniz,Agustín Nicolás Alaniz Sani,68,75,23,CA Banfield,Uruguay,Liga Profesional de Fútbol,2400000,,74,71,60,70,37,60,3,3,"ST, LM, LW",https://cdn.sofifa.net/players/069/963/26_120.png,,,,,,,
69965,M. Melchior,Marcus Melchior,62,69,24,Sandefjord Fotball,Norway,Eliteserien,800000,,55,57,56,64,55,52,2,3,"CM, CAM",https://cdn.sofifa.net/players/069/965/26_120.png,,,,,,,
69967,Isaac Romero,Isaac Romero Bernal,74,79,25,Sevilla FC,Spain,La Liga,6500000,,78,72,68,73,23,71,3,3,"ST, LW, RW, LM",https://cdn.sofifa.net/players/069/967/26_120.png,,,,,,,
69969,J. Zozaya,Juan Pablo Zozaya,63,68,23,Central Cordoba SdE,Argentina,Liga Profesional de Fútbol,575000,,,,,,,,1,2,GK,https://cdn.sofifa.net/players/069/969/26_120.png,61,59,58,64,68,26,1
69982,A. Rando,Alexander Rando,52,57,25,New York City FC,United States,Major League Soccer,90000,,,,,,,,1,2,GK,https://cdn.sofifa.net/players/069/982/26_120.png,53,49,51,55,54,27,1
69986,R. Mitchell,Roald Mitchell,50,61,22,New York Red Bulls,United States,Major League Soccer,110000,,67,52,36,49,18,43,2,3,ST,https://cdn.sofifa.net/players/069/986/26_120.png,,,,,,,
69987,R. Paula,Raul Carlos Vasko Caldaroska Paula,66,74,21,NAC Breda,Germany,Eredivisie,1900000,,70,64,64,67,40,59,3,3,"RM, LM, RB",https://cdn.sofifa.net/players/069/987/26_120.png,,,,,,,
69992,M. Luković,Miloš LukovićМилош Луковић,67,81,19,UD Las Palmas,Serbia,La Liga 2,2400000,,61,67,49,65,25,70,3,4,ST,https://cdn.sofifa.net/players/069/992/26_120.png,,,,,,,
69996,A. Platret,Aurélien Platret,61,70,22,US Boulogne Cote d'Opale,France,Ligue 2,700000,,67,48,57,59,55,52,2,3,"RB, RM",https://cdn.sofifa.net/players/069/996/26_120.png,,,,,,,
69997,A. Avom Ebong,Arthur Avom Ebong,71,81,20,FC Lorient,Cameroon,Ligue 1,4099999,,70,54,66,74,64,68,3,2,CM,https://cdn.sofifa.net/players/069/997/26_120.png,,,,,,,
70004,S. Mayulu,Senny Mayulu,75,85,19,Paris Saint-Germain,France,Ligue 1,12000000,,75,68,73,78,57,55,3,5,CM,https://cdn.sofifa.net/players/070/004/26_120.png,,,,,,,
70005,A. Bermont,Anthony Bermont,68,78,20,RC Lens,France,Ligue 1,2600000,,74,54,63,71,50,58,3,3,"LM, RM, LB",https://cdn.sofifa.net/players/070/005/26_120.png,,,,,,,
70006,M. Bechikh,Mohamed Bechikh,61,75,19,Grenoble Foot 38,France,Ligue 2,775000,,71,62,51,58,22,56,3,3,ST,https://cdn.sofifa.net/players/070/006/26_120.png,,,,,,,
70007,S. Andersen,Silas Andersen,70,77,21,BK Häcken,Denmark,Allsvenskan,3000000,,66,49,63,60,68,79,2,3,"CDM, CM, CB",https://cdn.sofifa.net/players/070/007/26_120.png,,,,,,,
70011,Y. Fofana,Yaya Kader Fofana,68,79,21,Stade de Reims,Côte d'Ivoire,Ligue 2,2700000,,73,54,63,73,62,62,3,3,CM,https://cdn.sofifa.net/players/070/011/26_120.png,,,,,,,
70012,N. Sangui,Nhoa Ryan Sangui,67,79,19,Paris FC,France,Ligue 1,2300000,,77,44,60,67,61,59,2,2,"LB, LM",https://cdn.sofifa.net/players/070/012/26_120.png,,,,,,,
70013,P. Yıldırım,Engin Poyraz Efe Yıldırım,62,79,20,Antalyaspor,Türkiye,Süper Lig,1100000,,68,61,46,62,22,59,2,3,ST,https://cdn.sofifa.net/players/070/013/26_120.png,,,,,,,
70014,E. Zuliani,Edhy Yvan Zuliani,62,76,20,Pau FC,Algeria,Ligue 2,950000,,73,49,57,68,36,57,3,2,"CAM, LM, CM",https://cdn.sofifa.net/players/070/014/26_120.png,,,,,,,
70015,N. Wasbauer,Nicolas Wasbauer,62,74,20,Toulouse FC,France,Ligue 1,900000,,56,27,45,51,61,65,2,3,CB,https://cdn.sofifa.net/players/070/015/26_120.png,,,,,,,
70017,G. Yassine,Gessime Yassine,65,77,19,USL Dunkerque,France,Ligue 2,1700000,,66,61,62,74,40,43,3,2,"RM, LM, RW",https://cdn.sofifa.net/players/070/017/26_120.png,,,,,,,
70018,C. Louis,Coleen Louis,61,76,20,Amiens SC,France,Ligue 2,750000,,61,28,48,50,68,56,2,3,"LB, LM",https://cdn.sofifa.net/players/070/018/26_120.png,,,,,,,
70020,M. Amougou,Mathis Amougou,72,82,19,RC Strasbourg Alsace,France,Ligue 1,5000000,,71,57,68,74,67,68,3,3,"CM, CDM",https://cdn.sofifa.net/players/070/020/26_120.png,,,,,,,
70022,R. Lutin,Rayan Lutin,66,76,22,Amiens SC,Comoros,Ligue 2,1900000,,74,51,64,73,50,46,3,2,"CAM, LM, CM",https://cdn.sofifa.net/players/070/022/26_120.png,,,,,,,
70025,S. Bakayoko,Siaka Bakayoko,62,74,20,Amiens SC,France,Ligue 2,900000,,62,29,50,49,63,62,2,2,CB,https://cdn.sofifa.net/players/070/025/26_120.png,,,,,,,
70026,C. Ashford,Cian Ty Ashford,63,75,20,Cardiff City,Wales,League One,1200000,,76,61,54,65,26,58,3,3,"RM, LM, ST, RW",https://cdn.sofifa.net/players/070/026/26_120.png,,,,,,,
70029,J. Okeke,Favour Jidechi Okeke,53,66,20,Walsall,Germany,League Two,220000,,70,31,40,49,47,61,2,3,"RB, LB, RM",https://cdn.sofifa.net/players/070/029/26_120.png,,,,,,,
70030,J. Adams,Joe Adams,60,70,21,Wigan Athletic,England,League One,550000,,72,55,57,62,46,64,3,3,"CAM, CM",https://cdn.sofifa.net/players/070/030/26_120.png,,,,,,,
70035,M. Hamilton,Micah Philippe Jude Hamilton,64,78,21,Middlesbrough,England,Championship,1400000,,80,62,58,69,29,49,3,3,"LM, RM, LW",https://cdn.sofifa.net/players/070/035/26_120.png,,,,,,,
70037,F. Onyeka,Francis-Ikechukwu Onyeka,60,83,18,VfL Bochum 1848,Germany,2. Bundesliga,775000,,64,56,59,62,44,55,3,4,"CAM, CM",https://cdn.sofifa.net/players/070/037/26_120.png,,,,,,,
70045,J. Murrell,Jacob Murrell,60,74,21,DC United,United States,Major League Soccer,600000,,52,59,43,57,24,63,3,3,ST,https://cdn.sofifa.net/players/070/045/26_120.png,,,,,,,
70049,K. Mutandwa,Kingstone Mutandwa,63,72,22,SV Ried,Zambia,Bundesliga,1100000,,73,62,51,65,32,61,3,3,ST,https://cdn.sofifa.net/players/070/049/26_120.png,,,,,,,
70050,A. Vinciguerra,Alessandro Vinciguerra,61,76,19,Pescara,Italy,Serie B,775000,,76,60,53,67,34,45,3,4,"LW, ST, LM",https://cdn.sofifa.net/players/070/050/26_120.png,,,,,,,
70053,P. Monje,Pablo Monje,63,63,28,Deportivo Riestra,Argentina,Liga Profesional de Fútbol,475000,,62,52,65,65,56,60,2,3,"CM, CDM",https://cdn.sofifa.net/players/070/053/26_120.png,,,,,,,
70055,Xiao Kun,Xiao Kun肖鲲,52,52,30,Qingdao Hainiu FC,China PR,Super League,70000,,58,37,47,44,48,68,2,3,"CB, CDM",https://cdn.sofifa.net/players/070/055/26_120.png,,,,,,,
70056,Li Zhi,Li Zhi李智,57,57,31,Shenzhen Peng City,China PR,Super League,120000,,72,26,47,54,51,57,2,3,"LB, LM",https://cdn.sofifa.net/players/070/056/26_120.png,,,,,,,
70063,B. Brandtman,Bailey Anthony Brandtman,57,72,20,Central Coast Mariners,Australia,A-League Men,400000,,71,56,53,59,39,59,2,3,"ST, RM, LM",https://cdn.sofifa.net/players/070/063/26_120.png,,,,,,,
70065,M. Nourani,Motez Nouraniمعتز نوراني,60,66,23,CD Nacional,Tunisia,Primeira Liga,400000,,69,54,56,64,33,52,3,3,"LM, RM, LW",https://cdn.sofifa.net/players/070/065/26_120.png,,,,,,,
70066,G. Sloane-Rodrigues,Gabriel Edward Sloane-Rodrigues,56,77,17,Wellington Phoenix,New Zealand,A-League Men,450000,,72,50,46,65,21,47,2,3,"LW, RW, LM",https://cdn.sofifa.net/players/070/066/26_120.png,,,,,,,
70069,C. Hatenboer,Cedric Hatenboer,64,80,20,RSC Anderlecht,Netherlands,Pro League,1500000,,65,47,61,67,52,57,3,4,CM,https://cdn.sofifa.net/players/070/069/26_120.png,,,,,,,
70079,A. Sipić,Adem Sipić,50,61,19,Nashville SC,United States,Major League Soccer,100000,,58,49,32,46,23,59,2,3,ST,https://cdn.sofifa.net/players/070/079/26_120.png,,,,,,,
70084,A. Douglas,Alex Raymond Douglas,68,75,23,Lech Poznań,Sweden,Ekstraklasa,2200000,,81,33,53,62,67,75,2,3,CB,https://cdn.sofifa.net/players/070/084/26_120.png,,,,,,,
70092,L. Popp,Leander Nicolas Popp,61,75,20,Viktoria Köln,Germany,3. Liga,800000,,76,58,52,63,21,57,3,3,"LM, ST, LW",https://cdn.sofifa.net/players/070/092/26_120.png,,,,,,,
70096,P. Åslund,Patric Karl Emil Åslund,64,73,22,Djurgårdens IF,Sweden,Allsvenskan,1300000,,70,62,64,64,51,60,2,3,"CM, CAM",https://cdn.sofifa.net/players/070/096/26_120.png,,,,,,,
70103,A. Cardaklija,Anes Čardaklija,62,76,19,GAIS,Sweden,Allsvenskan,875000,,55,25,40,54,60,71,2,3,CB,https://cdn.sofifa.net/players/070/103/26_120.png,,,,,,,
70104,R. Frej,Robin Sixten Frej,65,68,27,GAIS,Sweden,Allsvenskan,800000,,43,23,38,54,65,75,2,3,"CB, LB",https://cdn.sofifa.net/players/070/104/26_120.png,,,,,,,
70105,F. Beckman,Filip Beckman,64,74,22,GAIS,Sweden,Allsvenskan,1200000,,54,26,39,50,63,69,2,3,CB,https://cdn.sofifa.net/players/070/105/26_120.png,,,,,,,
70107,R. Wendin Thomasson,Robin Wendin Thomasson,64,67,26,GAIS,Sweden,Allsvenskan,700000,,65,37,57,58,59,72,2,3,LB,https://cdn.sofifa.net/players/070/107/26_120.png,,,,,,,
70108,A. Wängberg,August Nils Tomas Wängberg,65,65,31,GAIS,Sweden,Allsvenskan,525000,,60,36,54,59,62,74,2,3,"RB, RM",https://cdn.sofifa.net/players/070/108/26_120.png,,,,,,,
70109,J. Fagerjord,Joackim Åberg,63,64,26,GAIS,Sweden,Allsvenskan,550000,,52,54,57,59,60,67,2,3,"CM, CDM",https://cdn.sofifa.net/players/070/109/26_120.png,,,,,,,
70111,W. Milovanović,William Milovanovic,65,73,23,GAIS,Sweden,Allsvenskan,1600000,,63,58,63,62,61,65,2,3,"CM, CDM, CAM",https://cdn.sofifa.net/players/070/111/26_120.png,,,,,,,
70113,F. Gustafsson,Filip Gustafsson,57,65,23,GAIS,Sweden,Allsvenskan,350000,,53,37,52,55,58,53,2,3,"CDM, CM",https://cdn.sofifa.net/players/070/113/26_120.png,,,,,,,
70114,A. Henriksson,Axel Henriksson,66,75,23,Blackburn Rovers,Sweden,Championship,1900000,,70,62,62,65,57,75,2,3,"CM, CAM",https://cdn.sofifa.net/players/070/114/26_120.png,,,,,,,
70115,Erick,Erick Nunes Barbosa dos Santos,61,73,21,Cercle Brugge KSV,Brazil,Pro League,800000,,66,49,61,64,59,61,3,3,"RM, RB",https://cdn.sofifa.net/players/070/115/26_120.png,,,,,,,
70117,H. Jenssen,Håvar Grøntvedt Jenssen,62,64,29,Sarpsborg 08 FF,Norway,Eliteserien,325000,,,,,,,,1,3,GK,https://cdn.sofifa.net/players/070/117/26_120.png,62,61,59,60,61,23,1
70118,J. Fischer,Jonathan Frost Fischer,69,75,23,FC Metz,Denmark,Ligue 1,1800000,,,,,,,,1,3,GK,https://cdn.sofifa.net/players/070/118/26_120.png,68,67,66,69,69,44,1
70119,O. Langbråten,Ole Langbråten,57,67,21,Fredrikstad FK,Norway,Eliteserien,325000,,,,,,,,1,3,GK,https://cdn.sofifa.net/players/070/119/26_120.png,57,58,56,56,55,27,1
