id,team_name,player_name,position,fc26_ovr,fc26_pac,fc26_sho,fc26_pas,fc26_dri,fc26_def,fc26_phy,is_gk,gk_div,gk_han,gk_kic,gk_pos,gk_ref,gk_spd,category,position_impact,role_factor,fc26_player_impact,league_slug,source,fetched_at
92,Manchester United,Karl Darlow,keepers,72,,,,,,,1,73,70,66,72,75,58,GK_defense,73.3,0.6,44.0,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
93,Manchester United,Senne Lammens,keepers,78,,,,,,,1,79,77,71,79,77,21,GK_defense,78.3,1.0,78.33,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
94,Manchester United,Matthijs de Ligt,defenders,82,62,61,62,67,82,83,0,,,,,,,DEF_defense,82.5,1.2,99.0,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
95,Manchester United,Lisandro Martínez,defenders,81,67,59,75,75,81,80,0,,,,,,,DEF_defense,80.5,1.0,80.5,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
96,Manchester United,Mason Mount,midfielders,77,67,76,79,78,62,61,0,,,,,,,MID_both,73.0,0.6,43.8,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
97,Manchester United,Manuel Ugarte,midfielders,79,62,65,72,76,77,75,0,,,,,,,MID_both,75.0,1.0,75.0,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
98,Manchester United,Kobbie Mainoo,midfielders,77,68,69,74,81,73,74,0,,,,,,,MID_both,76.0,0.6,45.6,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
99,Manchester United,Matheus Cunha,attackers,83,77,85,79,84,44,75,0,,,,,,,ATT_attack,82.0,1.2,98.4,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
100,Manchester United,Benjamin Sesko,attackers,80,83,80,65,78,46,80,0,,,,,,,ATT_attack,80.3,1.0,80.33,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
101,Liverpool,Vítezslav Jaros,keepers,70,,,,,,,1,72,70,70,68,70,39,GK_defense,70.0,0.3,21.0,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
102,Liverpool,Jérémy Jacquet,defenders,75,64,38,57,61,75,76,0,,,,,,,DEF_defense,75.5,0.6,45.3,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
103,Liverpool,Joseph Gomez,defenders,79,74,29,70,71,79,73,0,,,,,,,DEF_defense,76.0,1.0,76.0,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
104,Liverpool,Conor Bradley,defenders,78,80,61,70,75,75,74,0,,,,,,,DEF_defense,74.5,1.0,74.5,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
105,Liverpool,Giovanni Leoni,defenders,69,53,27,42,52,71,68,0,,,,,,,DEF_defense,69.5,0.3,20.85,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
106,Liverpool,Curtis Jones,midfielders,80,74,74,76,82,72,76,0,,,,,,,MID_both,76.7,1.0,76.67,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
107,Liverpool,Stefan Bajcetic,midfielders,73,74,52,67,73,71,71,0,,,,,,,MID_both,70.3,0.6,42.2,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
108,Liverpool,Hugo Ekitiké,attackers,83,86,78,69,85,33,73,0,,,,,,,ATT_attack,83.0,1.2,99.6,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
109,FC Utrecht,Vasilios Barkas,keepers,74,,,,,,,1,74,72,73,72,76,42,GK_defense,74.0,0.6,44.4,ned.1,fc26_eafchub,2026-08-13T00:56:02.827886
110,FC Utrecht,Matisse Didden,defenders,68,48,36,55,56,66,78,0,,,,,,,DEF_defense,72.0,0.3,21.6,ned.1,fc26_eafchub,2026-08-13T00:56:02.827886
111,FC Utrecht,Neville Ogidi Nwankwo,defenders,61,74,36,43,45,62,65,0,,,,,,,DEF_defense,63.5,0.3,19.05,ned.1,fc26_eafchub,2026-08-13T00:56:02.827886
112,FC Utrecht,Victor Jensen,midfielders,69,70,66,65,71,55,64,0,,,,,,,MID_both,63.7,0.3,19.1,ned.1,fc26_eafchub,2026-08-13T00:56:02.827886
113,FC Utrecht,Alonzo Engwanda,midfielders,70,78,51,60,69,68,74,0,,,,,,,MID_both,65.7,0.3,19.7,ned.1,fc26_eafchub,2026-08-13T00:56:02.827886
