player_id,pac,sho,pas,dri,def,phy,overall,n_sources,last_updated,has_eo
1,76,73,75,79,55,74,77,5,2026-08-12 10:40:36,1
2,67,28,59,64,81,78,79,8,2026-08-12 11:57:28,1
3,55,58,71,66,85,75,82,9,2026-08-12 11:57:28,1
4,81,45,67,76,65,66,74,4,2026-08-12 10:40:36,1
5,77,54,61,67,73,76,75,4,2026-08-12 10:40:36,1
6,75,61,59,72,56,62,67,5,2026-08-12 10:40:36,1
7,51,47,64,66,74,71,73,5,2026-08-12 10:40:36,1
8,60,62,69,71,72,77,75,5,2026-08-12 10:40:36,1
9,,,,,,,,4,2026-08-12 10:09:56,0
10,70,76,82,81,43,66,80,9,2026-08-12 11:57:28,1
11,,,,,,,,4,2026-08-12 10:09:56,0
12,72,67,71,79,43,68,72,5,2026-08-12 10:40:36,1
13,62,62,65,65,73,75,72,5,2026-08-12 10:40:36,1
14,86,62,62,69,27,72,70,5,2026-08-12 10:40:36,1
15,78,57,66,69,74,75,75,4,2026-08-12 10:40:36,1
16,,,,,,,,4,2026-08-12 10:09:56,0
17,67,72,55,63,51,79,73,5,2026-08-12 10:40:36,1
18,71,64,74,71,59,67,69,4,2026-08-12 10:40:36,1
19,82,30,57,67,75,68,74,4,2026-08-12 10:40:36,1
20,83,66,61,73,23,65,69,5,2026-08-12 10:40:36,1
21,63,72,66,75,42,56,69,4,2026-08-12 10:40:36,1
22,82,36,62,66,69,72,72,5,2026-08-12 10:40:36,1
23,83,60,69,71,73,82,77,5,2026-08-12 10:40:36,1
24,83,82,82,85,56,85,85,12,2026-08-12 11:57:28,1
25,67,41,75,69,82,73,80,10,2026-08-12 11:55:19,1
26,75,53,71,75,84,78,82,13,2026-08-12 11:57:28,1
27,69,68,79,76,77,74,80,13,2026-08-12 11:57:28,1
28,75,66,71,75,75,76,79,12,2026-08-12 11:57:28,1
29,77,77,79,84,67,79,82,13,2026-08-12 11:57:28,1
30,54,79,85,80,75,72,85,10,2026-08-12 11:57:28,1
31,,,,,,,,8,2026-08-12 10:10:28,0
32,77,83,73,80,50,80,84,12,2026-08-12 11:57:28,1
33,66,74,78,81,66,66,77,13,2026-08-12 11:57:28,1
34,69,77,78,80,77,83,81,8,2026-08-12 11:57:28,1
35,77,64,69,73,68,66,73,8,2026-08-12 11:57:28,1
36,79,73,77,87,35,58,80,12,2026-08-12 11:57:28,1
37,76,76,65,74,36,74,77,9,2026-08-12 11:57:28,1
38,78,75,72,78,46,79,78,13,2026-08-12 11:57:28,1
39,74,62,72,73,78,81,79,13,2026-08-12 11:57:28,1
40,87,65,75,81,73,63,79,13,2026-08-12 11:57:28,1
41,58,44,67,64,78,76,78,12,2026-08-12 11:57:28,1
42,67,48,65,67,69,69,71,12,2026-08-12 11:57:28,1
43,,,,,,,,6,2026-08-12 10:09:55,0
44,,,,,,,,6,2026-08-12 10:10:28,0
45,72,70,77,81,53,50,78,11,2026-08-12 11:57:28,1
46,87,74,73,84,38,61,79,10,2026-08-12 11:57:28,1
47,,,,,,,,2,2026-08-12 10:09:11,0
48,80,34,62,62,86,86,86,8,2026-08-12 11:57:28,1
49,,,,,,,,3,2026-08-12 10:09:11,0
50,95,65,76,82,80,77,86,4,2026-08-12 11:55:19,1
51,92,79,82,83,82,79,89,7,2026-08-12 11:57:28,1
52,,,,,,,,3,2026-08-12 10:09:11,0
53,61,77,80,81,75,72,85,4,2026-08-12 11:57:28,1
54,86,72,80,84,82,83,85,5,2026-08-12 11:57:28,1
55,91,88,83,93,50,69,90,8,2026-08-12 11:57:28,1
56,86,80,83,88,58,78,87,8,2026-08-12 11:57:28,1
57,83,80,77,90,55,74,85,8,2026-08-12 11:57:28,1
58,79,68,76,79,75,79,80,8,2026-08-12 11:57:28,1
59,80,37,64,64,80,78,79,7,2026-08-12 11:57:28,1
60,,,,,,,,3,2026-08-12 10:09:11,0
61,,,,,,,,2,2026-08-12 10:09:07,0
62,73,79,64,77,48,79,80,7,2026-08-12 11:57:28,1
63,66,38,66,68,79,75,78,5,2026-08-12 11:55:19,1
64,,,,,,,,2,2026-08-12 10:09:11,0
65,71,54,72,70,82,77,81,8,2026-08-12 11:57:28,1
66,,,,,,,,2,2026-08-12 10:09:11,0
67,84,79,73,86,50,80,83,8,2026-08-12 11:57:28,1
68,,,,,,,,3,2026-08-12 10:09:11,0
69,90,77,78,84,39,66,84,7,2026-08-12 11:57:28,1
70,86,84,87,87,62,85,87,4,2026-08-12 11:57:28,1
71,64,44,64,65,88,84,88,3,2026-08-12 11:55:19,1
72,77,39,68,72,87,83,87,6,2026-08-12 11:57:28,1
73,84,41,65,72,84,82,83,6,2026-08-12 11:57:28,1
74,74,46,60,56,78,76,77,4,2026-08-12 11:57:28,1
75,84,82,85,88,60,73,88,6,2026-08-12 11:57:28,1
76,72,73,84,80,83,83,87,6,2026-08-12 11:57:28,1
77,76,60,74,77,75,78,78,6,2026-08-12 11:57:28,1
78,72,79,78,81,48,74,82,6,2026-08-12 11:57:28,1
79,80,81,80,85,30,60,83,6,2026-08-12 11:57:28,1
80,68,79,88,87,67,65,87,6,2026-08-12 11:57:28,1
81,81,79,74,86,39,71,80,3,2026-08-12 11:55:19,1
82,76,48,72,77,82,80,82,6,2026-08-12 11:57:28,1
83,49,65,74,71,79,79,80,5,2026-08-12 11:57:28,1
84,63,79,80,80,81,80,83,4,2026-08-12 11:57:28,1
85,90,77,75,83,46,72,81,4,2026-08-12 11:57:28,1
86,88,75,74,83,45,69,80,6,2026-08-12 11:57:28,1
87,90,86,73,81,36,91,87,6,2026-08-12 11:57:28,1
88,74,80,81,87,50,68,83,6,2026-08-12 11:57:28,1
89,,,,,,,,1,2026-08-12 10:06:49,0
90,72,66,71,75,77,77,78,6,2026-08-12 11:57:28,1
91,77,78,82,81,40,77,79,5,2026-08-12 11:57:28,1
92,66,67,79,79,80,73,83,4,2026-08-12 11:57:28,1
139,82,78,77,82,55,80,81,9,2026-08-12 11:57:28,1
140,88,40,57,67,80,82,79,8,2026-08-12 11:57:28,1
141,70,32,56,57,69,73,70,8,2026-08-12 11:57:28,1
142,60,32,57,61,71,72,72,7,2026-08-12 11:57:28,1
143,71,72,77,78,64,66,77,7,2026-08-12 11:57:28,1
144,62,62,81,77,75,69,79,9,2026-08-12 11:57:28,1
145,75,41,68,73,76,70,78,9,2026-08-12 11:57:28,1
146,75,80,87,78,79,81,82,7,2026-08-12 11:57:28,1
147,75,84,70,77,41,81,82,7,2026-08-12 11:57:28,1
148,,,,,,,,4,2026-08-12 10:10:14,0
149,91,78,76,78,28,69,79,7,2026-08-12 11:57:28,1
150,75,79,62,70,32,83,78,7,2026-08-12 11:57:28,1
151,71,53,77,73,67,70,73,8,2026-08-12 11:57:28,1
152,66,27,58,62,78,77,77,7,2026-08-12 11:57:28,1
153,64,63,62,63,45,62,63,6,2026-08-12 11:57:28,1
154,68,71,70,74,76,79,77,6,2026-08-12 11:57:28,1
155,86,76,72,78,43,59,79,7,2026-08-12 11:57:28,1
156,51,62,76,75,73,67,77,8,2026-08-12 11:57:28,1
157,83,76,73,79,36,77,79,8,2026-08-12 11:57:28,1
158,65,67,72,71,63,68,71,8,2026-08-12 11:57:28,1
159,60,60,65,69,72,56,70,8,2026-08-12 11:57:28,1
160,,,,,,,,3,2026-08-12 10:10:14,0
161,79,78,72,80,37,78,79,9,2026-08-12 11:57:28,1
162,78,78,74,80,43,77,79,8,2026-08-12 11:57:28,1
163,,,,,,,,3,2026-08-12 10:09:53,0
164,63,57,64,65,76,87,77,6,2026-08-12 11:57:28,1
165,,,,,,,,3,2026-08-12 10:09:53,0
166,,,,,,,,3,2026-08-12 10:09:53,0
167,,,,,,,,3,2026-08-12 10:09:53,0
168,,,,,,,,3,2026-08-12 10:09:53,0
169,,,,,,,,3,2026-08-12 10:09:53,0
170,,,,,,,,2,2026-08-12 10:09:53,0
171,88,70,77,81,51,45,80,6,2026-08-12 11:57:28,1
172,,,,,,,,3,2026-08-12 10:09:53,0
173,,,,,,,,3,2026-08-12 10:09:53,0
174,,,,,,,,3,2026-08-12 10:09:53,0
175,,,,,,,,3,2026-08-12 10:09:53,0
176,,,,,,,,3,2026-08-12 10:09:53,0
177,,,,,,,,3,2026-08-12 10:09:53,0
178,,,,,,,,3,2026-08-12 10:09:53,0
179,,,,,,,,2,2026-08-12 10:09:53,0
180,78,72,68,76,28,57,74,6,2026-08-12 11:57:28,1
181,,,,,,,,2,2026-08-12 10:09:37,0
182,,,,,,,,3,2026-08-12 10:09:53,0
183,,,,,,,,2,2026-08-12 10:09:56,0
184,,,,,,,,2,2026-08-12 10:09:56,0
185,61,33,58,60,76,75,75,6,2026-08-12 11:57:28,1
186,,,,,,,,2,2026-08-12 10:09:56,0
187,55,62,69,71,72,75,72,6,2026-08-12 11:57:28,1
188,66,78,79,76,63,73,76,6,2026-08-12 11:57:28,1
189,78,60,66,76,74,74,76,6,2026-08-12 11:57:28,1
190,,,,,,,,2,2026-08-12 10:09:56,0
191,,,,,,,,2,2026-08-12 10:09:56,0
192,,,,,,,,2,2026-08-12 10:09:56,0
193,,,,,,,,2,2026-08-12 10:09:56,0
194,,,,,,,,2,2026-08-12 10:09:56,0
195,69,69,68,72,64,66,69,6,2026-08-12 11:57:28,1
196,76,74,79,78,62,71,77,5,2026-08-12 11:57:28,1
197,,,,,,,,2,2026-08-12 10:09:56,0
198,,,,,,,,1,2026-08-12 10:09:02,0
199,,,,,,,,2,2026-08-12 10:09:11,0
200,,,,,,,,2,2026-08-12 10:09:56,0
201,,,,,,,,2,2026-08-12 10:09:56,0
202,81,70,64,69,28,74,71,6,2026-08-12 11:57:28,1
203,,,,,,,,2,2026-08-12 10:09:56,0
204,,,,,,,,1,2026-08-12 10:09:02,0
205,,,,,,,,2,2026-08-12 10:09:56,0
206,,,,,,,,1,2026-08-12 10:09:02,0
207,,,,,,,,1,2026-08-12 10:09:02,0
208,,,,,,,,1,2026-08-12 10:09:02,0
209,,,,,,,,1,2026-08-12 10:09:02,0
210,,,,,,,,1,2026-08-12 10:09:02,0
211,,,,,,,,1,2026-08-12 10:09:02,0
212,67,62,65,68,60,74,68,5,2026-08-12 11:57:28,1
213,66,67,72,75,74,70,74,5,2026-08-12 11:57:28,1
214,,,,,,,,1,2026-08-12 10:09:02,0
215,,,,,,,,1,2026-08-12 10:09:02,0
216,,,,,,,,1,2026-08-12 10:09:02,0
217,,,,,,,,1,2026-08-12 10:09:02,0
218,,,,,,,,1,2026-08-12 10:09:02,0
219,,,,,,,,1,2026-08-12 10:09:02,0
220,75,57,68,67,65,71,69,5,2026-08-12 11:57:28,1
221,,,,,,,,1,2026-08-12 10:09:02,0
222,,,,,,,,1,2026-08-12 10:09:02,0
223,,,,,,,,1,2026-08-12 10:09:02,0
224,,,,,,,,1,2026-08-12 10:09:02,0
225,,,,,,,,1,2026-08-12 10:09:02,0
226,,,,,,,,1,2026-08-12 10:09:02,0
227,,,,,,,,1,2026-08-12 10:09:02,0
228,,,,,,,,1,2026-08-12 10:09:02,0
229,,,,,,,,1,2026-08-12 10:09:02,0
230,,,,,,,,1,2026-08-12 10:09:02,0
231,,,,,,,,1,2026-08-12 10:09:02,0
232,,,,,,,,1,2026-08-12 10:09:02,0
233,77,73,70,79,44,76,77,6,2026-08-12 11:57:28,1
234,,,,,,,,2,2026-08-12 10:09:25,0
235,57,46,71,67,75,73,75,6,2026-08-12 11:57:28,1
236,,,,,,,,2,2026-08-12 10:09:25,0
237,,,,,,,,2,2026-08-12 10:09:25,0
238,83,56,71,77,71,65,77,4,2026-08-12 11:55:19,1
239,,,,,,,,2,2026-08-12 10:09:25,0
240,,,,,,,,2,2026-08-12 10:09:25,0
241,,,,,,,,2,2026-08-12 10:09:25,0
242,,,,,,,,1,2026-08-12 10:09:03,0
243,48,80,71,73,41,79,79,7,2026-08-12 11:57:28,1
244,,,,,,,,2,2026-08-12 10:09:25,0
245,,,,,,,,2,2026-08-12 10:09:25,0
246,,,,,,,,2,2026-08-12 10:09:25,0
247,,,,,,,,2,2026-08-12 10:09:25,0
248,,,,,,,,2,2026-08-12 10:09:25,0
249,,,,,,,,2,2026-08-12 10:09:25,0
250,76,70,68,73,55,73,73,7,2026-08-12 11:57:28,1
251,76,58,66,66,68,74,71,6,2026-08-12 11:57:28,1
252,63,74,72,71,75,81,76,6,2026-08-12 11:57:28,1
253,77,72,76,75,22,69,73,7,2026-08-12 11:57:28,1
254,,,,,,,,2,2026-08-12 10:09:23,0
255,,,,,,,,1,2026-08-12 10:09:03,0
256,,,,,,,,1,2026-08-12 10:09:03,0
257,,,,,,,,2,2026-08-12 10:09:23,0
258,,,,,,,,2,2026-08-12 10:09:23,0
259,57,48,63,62,57,61,65,5,2026-08-12 11:57:28,1
260,76,50,75,78,68,61,75,7,2026-08-12 11:57:28,1
261,,,,,,,,2,2026-08-12 10:09:23,0
262,73,59,58,66,35,47,63,6,2026-08-12 11:57:28,1
263,90,67,69,79,64,68,77,3,2026-08-12 11:55:19,1
264,,,,,,,,2,2026-08-12 10:09:23,0
265,74,55,62,69,41,62,67,6,2026-08-12 11:57:28,1
266,,,,,,,,2,2026-08-12 10:09:23,0
267,,,,,,,,2,2026-08-12 10:09:23,0
268,,,,,,,,1,2026-08-12 10:09:03,0
269,69,27,52,56,73,75,73,6,2026-08-12 11:57:28,1
270,,,,,,,,2,2026-08-12 10:09:23,0
271,,,,,,,,2,2026-08-12 10:09:23,0
272,70,65,74,80,32,64,76,6,2026-08-12 11:57:28,1
273,81,81,90,81,31,86,84,8,2026-08-12 11:57:28,1
274,,,,,,,,3,2026-08-12 10:10:08,0
275,77,45,64,73,84,84,85,7,2026-08-12 11:57:28,1
276,58,67,79,79,60,60,76,4,2026-08-12 10:40:36,1
277,82,69,76,75,81,76,82,7,2026-08-12 11:57:28,1
278,80,82,80,90,66,65,88,7,2026-08-12 11:57:28,1
279,77,78,80,80,80,82,82,8,2026-08-12 11:57:28,1
280,72,74,89,84,83,79,89,7,2026-08-12 11:57:28,1
281,82,77,69,79,40,77,80,7,2026-08-12 11:57:28,1
282,88,81,76,87,45,75,85,8,2026-08-12 11:57:28,1
283,69,58,60,69,34,37,63,4,2026-08-12 10:40:36,1
284,79,83,78,84,43,66,82,7,2026-08-12 11:57:28,1
285,69,78,85,88,74,54,80,7,2026-08-12 11:57:28,1
286,,,,,,,,3,2026-08-12 10:10:08,0
287,78,80,84,87,50,66,86,8,2026-08-12 11:57:28,1
288,74,70,79,76,32,74,74,4,2026-08-12 10:40:36,1
289,,,,,,,,1,2026-08-12 10:09:04,0
290,63,38,60,63,87,86,87,8,2026-08-12 11:57:28,1
291,,,,,,,,1,2026-08-12 10:09:04,0
292,,,,,,,,3,2026-08-12 10:10:08,0
293,77,76,70,78,21,75,75,3,2026-08-12 10:40:36,1
294,70,39,63,65,78,76,77,7,2026-08-12 11:57:28,1
295,74,59,68,69,73,79,74,6,2026-08-12 11:57:28,1
296,68,64,74,75,73,68,75,3,2026-08-12 10:40:36,1
297,55,71,81,77,64,61,76,7,2026-08-12 11:57:28,1
298,71,70,74,78,77,68,77,3,2026-08-12 10:40:36,1
299,80,54,67,74,62,69,70,7,2026-08-12 11:57:28,1
300,83,49,60,69,71,76,74,3,2026-08-12 10:40:36,1
301,,,,,,,,2,2026-08-12 10:10:01,0
302,,,,,,,,2,2026-08-12 10:10:01,0
303,84,78,79,78,53,63,80,7,2026-08-12 11:57:28,1
304,67,72,72,80,38,68,75,2,2026-08-12 10:40:36,1
305,72,71,75,76,65,67,75,3,2026-08-12 10:40:36,1
306,73,56,63,73,73,71,74,3,2026-08-12 10:40:36,1
307,,,,,,,,2,2026-08-12 10:10:01,0
308,83,75,68,76,39,76,75,7,2026-08-12 11:57:28,1
309,,,,,,,,2,2026-08-12 10:10:01,0
310,72,63,51,63,28,60,64,2,2026-08-12 10:40:36,1
311,67,33,49,56,70,67,68,3,2026-08-12 10:40:36,1
312,58,41,54,50,76,72,74,3,2026-08-12 10:40:36,1
325,,,,,,,,2,2026-08-12 10:09:12,0
333,77,75,70,77,52,76,77,4,2026-08-12 11:55:19,1
334,50,31,56,56,77,77,76,6,2026-08-12 11:57:28,1
335,,,,,,,,1,2026-08-12 10:09:06,0
336,,,,,,,,2,2026-08-12 10:09:44,0
337,,,,,,,,2,2026-08-12 10:09:44,0
338,,,,,,,,2,2026-08-12 10:09:44,0
339,,,,,,,,2,2026-08-12 10:09:44,0
340,89,59,63,74,66,78,74,6,2026-08-12 11:57:28,1
341,75,80,57,70,31,81,79,6,2026-08-12 11:57:28,1
342,,,,,,,,2,2026-08-12 10:09:44,0
343,76,74,66,73,35,68,73,5,2026-08-12 11:57:28,1
344,66,63,69,69,74,75,74,6,2026-08-12 11:57:28,1
345,,,,,,,,2,2026-08-12 10:09:44,0
346,78,53,65,69,67,77,73,6,2026-08-12 11:57:28,1
347,54,68,72,75,77,74,78,5,2026-08-12 11:57:28,1
348,,,,,,,,2,2026-08-12 10:09:44,0
349,,,,,,,,2,2026-08-12 10:09:44,0
350,,,,,,,,2,2026-08-12 10:09:44,0
351,,,,,,,,2,2026-08-12 10:09:44,0
352,,,,,,,,2,2026-08-12 10:09:44,0
353,,,,,,,,2,2026-08-12 10:09:16,0
354,,,,,,,,2,2026-08-12 10:09:16,0
355,70,42,61,67,74,72,74,6,2026-08-12 11:57:28,1
356,,,,,,,,2,2026-08-12 10:09:16,0
357,76,57,65,72,68,67,74,6,2026-08-12 11:57:28,1
358,,,,,,,,2,2026-08-12 10:09:16,0
359,55,61,65,65,65,64,68,4,2026-08-12 11:57:28,1
360,,,,,,,,2,2026-08-12 10:09:16,0
361,79,71,61,76,23,68,73,5,2026-08-12 11:57:28,1
362,67,62,65,71,61,62,68,6,2026-08-12 11:57:28,1
363,,,,,,,,2,2026-08-12 10:09:16,0
364,,,,,,,,2,2026-08-12 10:09:16,0
365,57,47,64,72,66,64,69,6,2026-08-12 11:57:28,1
366,,,,,,,,1,2026-08-12 10:09:07,0
367,,,,,,,,2,2026-08-12 10:09:16,0
368,90,55,58,72,33,62,68,6,2026-08-12 11:57:28,1
369,,,,,,,,2,2026-08-12 10:09:16,0
370,,,,,,,,2,2026-08-12 10:09:16,0
371,68,72,77,79,62,65,76,5,2026-08-12 11:57:28,1
372,55,54,68,70,70,70,73,6,2026-08-12 11:57:28,1
385,,,,,,,,1,2026-08-12 10:09:07,0
388,,,,,,,,1,2026-08-12 10:09:07,0
391,77,76,78,77,24,77,78,7,2026-08-12 11:57:28,1
392,68,48,63,64,77,80,77,7,2026-08-12 11:57:28,1
393,76,63,71,75,75,74,76,8,2026-08-12 11:57:28,1
