fixture_id,home_team,venue,city,lat,lon,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,weather_code,forecast_date,source,fetched_at
5920,Kairat Almaty,Turkistan Arena,Almaty,43.23,76.95,24.0,50.0,0.5,8.0,0,2026-08-13,climate_baseline_aug,2026-08-14T23:06:10.784739+00:00
5921,Bodo/Glimt,Aspmyra Stadion,Bodø,67.28,14.4,12.0,75.0,2.0,15.0,61,2026-08-13,climate_baseline_aug,2026-08-14T23:06:10.784739+00:00
5922,Sabah FK,Bank Respublika Stadium,Sabah,5.5,116.8,26.0,80.0,5.0,5.0,95,2026-08-13,climate_baseline_aug,2026-08-14T23:06:10.784739+00:00
5923,Kauno Zalgiris,S. Darius and S. Gireno Stadium,Kaunas,54.9,23.89,19.0,70.0,1.0,12.0,1,2026-08-13,climate_baseline_aug,2026-08-14T23:06:10.784739+00:00
5924,NEC Nijmegen,Goffertstadion,Nijmegen,51.85,5.86,20.0,75.0,1.5,14.0,61,2026-08-13,climate_baseline_aug,2026-08-14T23:06:10.784739+00:00
5925,Red Star Belgrade,Rajko Mitic Stadium,Belgrade,44.82,20.46,24.0,55.0,0.5,10.0,0,2026-08-13,climate_baseline_aug,2026-08-14T23:06:10.784739+00:00
5926,NK Celje,Stadion Z'dezele,Celje,46.24,15.27,21.0,70.0,2.0,8.0,61,2026-08-13,climate_baseline_aug,2026-08-14T23:06:10.784739+00:00
5927,Slovan Bratislava,Národny Futbalovy Stadión,Bratislava,48.14,17.11,22.0,60.0,1.0,12.0,1,2026-08-13,climate_baseline_aug,2026-08-14T23:06:10.784739+00:00
5928,SK Sturm Graz,Merkur Arena,Graz,47.07,15.43,21.0,65.0,2.0,10.0,61,2026-08-13,climate_baseline_aug,2026-08-14T23:06:10.784739+00:00
5929,Lyon,Groupama Stadium,Lyon,45.76,4.84,23.0,55.0,1.0,11.0,1,2026-08-13,climate_baseline_aug,2026-08-14T23:06:10.784739+00:00
11426,Besiktas,Vodafone Park,Istanbul,41.01,28.96,26.0,65.0,1.0,14.0,0,2026-08-13,climate_baseline_aug,2026-08-14T23:06:10.784739+00:00
11427,CSU Craiova,Stadionul Ion Oblemenco,Craiova,44.33,23.82,24.0,55.0,1.0,10.0,0,2026-08-13,climate_baseline_aug,2026-08-14T23:06:10.784739+00:00
11428,Gornik Zabrze,,Zabrze,50.32,18.79,18.0,70.0,1.0,10.0,1,2026-08-13,climate_baseline_aug,2026-08-14T23:06:10.784739+00:00
