id,league_slug,match_date,home_team,away_team,bet_outcome,stake,profit,model_prob,market_odds
1,ita.1,2026-05-24,Torino,Juventus,H,0.03590297078436362,-0.03590297078436362,0.0,0.0
2,ita.1,2026-05-24,Lecce,Genoa,H,0.003815256688489261,0.002861442516366946,0.0,0.0
3,ita.1,2026-05-24,Hellas Ver,AS Roma,0,0.0,0.0,0.0,0.0
4,ita.1,2026-05-24,AC Milan,Cagliari,A,0.059383713243991984,0.5938371324399199,0.0,0.0
5,ita.1,2026-05-24,Napoli,Udinese,A,0.004761612099352339,-0.004761612099352339,0.0,0.0
6,eng.1,2026-05-24,West Ham U,Leeds Unit,H,0.19197857985018585,0.163181792872658,0.0,0.0
7,eng.1,2026-05-24,Tottenham ,Everton,H,0.06511685763797757,0.05925634045055958,0.0,0.0
8,eng.1,2026-05-24,Sunderland,Chelsea,H,0.10393476072141093,0.2702303778756684,0.0,0.0
9,eng.1,2026-05-24,Manchester,Aston Vill,A,0.1523809278362543,1.2190474226900343,0.0,0.0
10,eng.1,2026-05-24,Liverpool,Brentford,H,0.03971828575458549,-0.03971828575458549,0.0,0.0
11,eng.1,2026-05-24,Fulham,Newcastle ,H,0.5176917856871917,0.9732605570919202,0.0,0.0
12,eng.1,2026-05-24,Crystal Pa,Arsenal,A,0.29291539104572856,0.21968654328429643,0.0,0.0
13,eng.1,2026-05-24,Burnley,Wolverhamp,H,0.45638855491544017,-0.45638855491544017,0.0,0.0
14,eng.1,2026-05-24,Brighton &,Manchester,A,0.2847229908292426,0.7402797761560307,0.0,0.0
15,ita.1,2026-05-24,Parma,Sassuolo,H,0.04109100514945052,0.0698547087540659,0.0,0.0
16,esp.1,2026-05-23,Valencia,Barcelona,A,0.19004718583856753,-0.19004718583856753,0.0,0.0
17,esp.1,2026-05-23,Real Madri,Athletic C,H,0.893201938425089,0.44660096921254444,0.0,0.0
18,esp.1,2026-05-23,Real Betis,Levante,H,0.6448286234645855,0.8060357793307318,0.0,0.0
19,esp.1,2026-05-23,Girona,Elche,H,0.1683006244180385,-0.1683006244180385,0.0,0.0
20,esp.1,2026-05-23,Getafe,Osasuna,H,0.07895412873423757,0.1144834866646445,0.0,0.0
21,esp.1,2026-05-23,Espanyol,Real Socie,H,0.8499541147275255,-0.8499541147275255,0.0,0.0
22,ita.1,2026-05-23,Lazio,Pisa,H,0.5178763893932163,0.284832014166269,0.0,0.0
23,ita.1,2026-05-22,Fiorentina,Atalanta,A,0.08255360798270747,-0.08255360798270747,0.0,0.0
24,eng.1,2026-05-19,Chelsea,Tottenham ,H,0.7185684434757201,0.6538972835629052,0.0,0.0
25,eng.1,2026-05-19,AFC Bourne,Manchester,D,0.04143580669377262,0.13798123629026285,0.0,0.0
26,eng.1,2026-05-18,Arsenal,Burnley,0,0.0,0.0,0.0,0.0
27,esp.1,2026-05-17,Barcelona,Real Betis,H,0.49716284022503654,0.16406373727426204,0.0,0.0
28,fra.1,2026-05-17,Paris FC,Paris Sain,D,0.09086978133181367,-0.09086978133181367,0.0,0.0
29,fra.1,2026-05-17,Nice,Metz,A,0.2280861893117155,-0.2280861893117155,0.0,0.0
30,fra.1,2026-05-17,Nantes,Toulouse,A,0.08578543817608078,-0.08578543817608078,0.0,0.0
31,fra.1,2026-05-17,Brest,Angers,0,0.0,0.0,0.0,0.0
32,ita.1,2026-05-17,Udinese,Cremonese,H,0.10281568852543921,-0.10281568852543921,0.0,0.0
33,ita.1,2026-05-17,Sassuolo,Lecce,H,0.4217899628495492,-0.4217899628495492,0.0,0.0
34,ita.1,2026-05-17,Cagliari,Torino,0,0.0,0.0,0.0,0.0
35,esp.1,2026-05-17,Sevilla,Real Madri,A,0.14324380836012932,0.1647303796141487,0.0,0.0
36,esp.1,2026-05-17,Real Socie,Valencia,H,0.3529247178460839,-0.3529247178460839,0.0,0.0
37,esp.1,2026-05-17,Rayo Valle,Villarreal,H,0.8307823850621439,1.1215562198338942,0.0,0.0
38,esp.1,2026-05-17,Osasuna,Espanyol,H,0.6485009670898702,-0.6485009670898702,0.0,0.0
39,esp.1,2026-05-17,Levante,Mallorca,A,0.05075436348131197,-0.05075436348131197,0.0,0.0
40,esp.1,2026-05-17,Elche,Getafe,0,0.0,0.0,0.0,0.0
41,eng.1,2026-05-17,Newcastle ,West Ham U,H,0.6864230600276161,0.7550653660303778,0.0,0.0
42,ita.1,2026-05-17,Atalanta,Bologna,A,0.274624802754807,1.0298430103305263,0.0,0.0
43,eng.1,2026-05-17,Wolverhamp,Fulham,A,0.041428930170481375,-0.041428930170481375,0.0,0.0
44,eng.1,2026-05-17,Leeds Unit,Brighton &,H,0.41011971158727195,0.9022633654919985,0.0,0.0
45,eng.1,2026-05-17,Everton,Sunderland,0,0.0,0.0,0.0,0.0
46,eng.1,2026-05-17,Brentford,Crystal Pa,A,0.3763814311335464,-0.3763814311335464,0.0,0.0
47,ita.1,2026-05-17,Pisa,Napoli,0,0.0,0.0,0.0,0.0
48,ita.1,2026-05-17,Juventus,Fiorentina,D,0.07040993896205804,-0.07040993896205804,0.0,0.0
49,ita.1,2026-05-17,Genoa,AC Milan,A,0.18253955006631528,0.12777768504642067,0.0,0.0
50,ita.1,2026-05-17,AS Roma,Lazio,H,0.14360529559947605,0.0761108066677223,0.0,0.0
51,ger.1,2026-05-16,Werder Bre,Borussia D,A,0.9585072480066017,0.9105818856062715,0.0,0.0
52,eng.1,2026-05-15,Aston Vill,Liverpool,H,1.2203292851899255,2.1355762490823693,0.0,0.0
