season,league_slug,div,match_date,home_team,away_team,fthg,ftag,ftr,referee,b365h,b365d,b365a,avg_h,avg_d,avg_a,fetched_at,home_shots,away_shots,home_sot,away_sot,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds
2020/2021,eng.1,E0,12/09/2020,Fulham,Arsenal,0,3,A,C Kavanagh,6.0,4.33,1.53,5.94,4.34,1.55,2026-07-20T17:14:54.280337,,,,,,,,,,,,
2020/2021,eng.1,E0,12/09/2020,Crystal Palace,Southampton,1,0,H,J Moss,3.1,3.25,2.37,3.18,3.22,2.39,2026-07-20T17:14:54.280459,,,,,,,,,,,,
2020/2021,eng.1,E0,12/09/2020,Liverpool,Leeds,4,3,H,M Oliver,1.28,6.0,9.5,1.3,5.96,9.68,2026-07-20T17:14:54.280486,,,,,,,,,,,,
2020/2021,eng.1,E0,12/09/2020,West Ham,Newcastle,0,2,A,S Attwell,2.15,3.4,3.4,2.15,3.48,3.42,2026-07-20T17:14:54.280507,,,,,,,,,,,,
2020/2021,eng.1,E0,13/09/2020,West Brom,Leicester,0,3,A,A Taylor,3.8,3.6,1.95,3.87,3.57,1.97,2026-07-20T17:14:54.280534,,,,,,,,,,,,
2020/2021,eng.1,E0,13/09/2020,Tottenham,Everton,0,1,A,M Atkinson,1.83,3.6,4.33,1.9,3.55,4.2,2026-07-20T17:14:54.280553,,,,,,,,,,,,
2020/2021,eng.1,E0,14/09/2020,Brighton,Chelsea,1,3,A,C Pawson,5.0,4.33,1.61,5.12,4.13,1.65,2026-07-20T17:14:54.280575,,,,,,,,,,,,
2020/2021,eng.1,E0,14/09/2020,Sheffield United,Wolves,0,2,A,M Dean,3.25,3.1,2.37,3.36,3.0,2.41,2026-07-20T17:14:54.280600,,,,,,,,,,,,
2020/2021,eng.1,E0,19/09/2020,Everton,West Brom,5,2,H,M Dean,1.5,4.2,6.5,1.54,4.25,6.3,2026-07-20T17:14:54.280624,,,,,,,,,,,,
2020/2021,eng.1,E0,19/09/2020,Leeds,Fulham,4,3,H,A Taylor,1.61,3.9,5.75,1.64,3.97,5.5,2026-07-20T17:14:54.280656,,,,,,,,,,,,
2020/2021,eng.1,E0,19/09/2020,Man United,Crystal Palace,1,3,A,M Atkinson,1.3,5.5,9.5,1.32,5.57,9.56,2026-07-20T17:14:54.280687,,,,,,,,,,,,
2020/2021,eng.1,E0,19/09/2020,Arsenal,West Ham,2,1,H,M Oliver,1.53,4.5,5.5,1.53,4.51,5.91,2026-07-20T17:14:54.280711,,,,,,,,,,,,
2020/2021,eng.1,E0,20/09/2020,Southampton,Tottenham,2,5,A,D Coote,3.0,3.3,2.37,3.1,3.35,2.37,2026-07-20T17:14:54.280751,,,,,,,,,,,,
2020/2021,eng.1,E0,20/09/2020,Newcastle,Brighton,0,3,A,K Friend,2.6,3.1,2.87,2.68,3.15,2.82,2026-07-20T17:14:54.280774,,,,,,,,,,,,
2020/2021,eng.1,E0,20/09/2020,Chelsea,Liverpool,0,2,A,P Tierney,3.1,3.6,2.2,3.15,3.72,2.18,2026-07-20T17:14:54.280797,,,,,,,,,,,,
2020/2021,eng.1,E0,20/09/2020,Leicester,Burnley,4,2,H,L Mason,1.61,4.0,5.5,1.63,3.98,5.64,2026-07-20T17:14:54.280821,,,,,,,,,,,,
2020/2021,eng.1,E0,21/09/2020,Aston Villa,Sheffield United,1,0,H,G Scott,2.7,3.1,2.75,2.71,3.19,2.75,2026-07-20T17:14:54.280844,,,,,,,,,,,,
2020/2021,eng.1,E0,21/09/2020,Wolves,Man City,1,3,A,A Marriner,6.5,4.33,1.5,6.11,4.35,1.54,2026-07-20T17:14:54.280868,,,,,,,,,,,,
2020/2021,eng.1,E0,26/09/2020,Brighton,Man United,2,3,A,C Kavanagh,4.75,3.75,1.72,4.83,3.75,1.75,2026-07-20T17:14:54.280891,,,,,,,,,,,,
2020/2021,eng.1,E0,26/09/2020,Crystal Palace,Everton,1,2,A,K Friend,3.75,3.25,2.1,3.69,3.32,2.12,2026-07-20T17:14:54.280915,,,,,,,,,,,,
2020/2021,eng.1,E0,26/09/2020,West Brom,Chelsea,3,3,D,J Moss,9.0,4.75,1.36,8.24,5.02,1.38,2026-07-20T17:14:54.280938,,,,,,,,,,,,
2020/2021,eng.1,E0,26/09/2020,Burnley,Southampton,0,1,A,A Marriner,3.2,3.3,2.3,3.3,3.25,2.31,2026-07-20T17:14:54.280962,,,,,,,,,,,,
2020/2021,eng.1,E0,27/09/2020,Sheffield United,Leeds,0,1,A,P Tierney,2.7,3.3,2.62,2.72,3.37,2.63,2026-07-20T17:14:54.280984,,,,,,,,,,,,
2020/2021,eng.1,E0,27/09/2020,Tottenham,Newcastle,1,1,D,P Bankes,1.45,4.5,7.0,1.47,4.5,6.95,2026-07-20T17:14:54.281008,,,,,,,,,,,,
2020/2021,eng.1,E0,27/09/2020,Man City,Leicester,2,5,A,M Oliver,1.28,6.0,9.5,1.29,5.93,9.68,2026-07-20T17:14:54.281033,,,,,,,,,,,,
2020/2021,eng.1,E0,27/09/2020,West Ham,Wolves,4,0,H,M Atkinson,3.6,3.5,2.05,3.74,3.38,2.07,2026-07-20T17:14:54.281057,,,,,,,,,,,,
2020/2021,eng.1,E0,28/09/2020,Fulham,Aston Villa,0,3,A,S Attwell,2.9,3.25,2.5,2.92,3.26,2.52,2026-07-20T17:14:54.281082,,,,,,,,,,,,
2020/2021,eng.1,E0,28/09/2020,Liverpool,Arsenal,3,1,H,C Pawson,1.45,4.75,6.5,1.49,4.68,6.3,2026-07-20T17:14:54.281109,,,,,,,,,,,,
2020/2021,eng.1,E0,03/10/2020,Chelsea,Crystal Palace,4,0,H,M Oliver,1.4,4.75,8.0,1.43,4.77,7.39,2026-07-20T17:14:54.281139,,,,,,,,,,,,
2020/2021,eng.1,E0,03/10/2020,Everton,Brighton,4,2,H,S Hooper,1.72,3.75,4.8,1.76,3.73,4.79,2026-07-20T17:14:54.281187,,,,,,,,,,,,
2020/2021,eng.1,E0,03/10/2020,Leeds,Man City,1,1,D,M Dean,7.5,5.25,1.36,7.45,5.34,1.38,2026-07-20T17:14:54.281214,,,,,,,,,,,,
2020/2021,eng.1,E0,03/10/2020,Newcastle,Burnley,3,1,H,D Coote,2.4,3.2,3.1,2.47,3.15,3.08,2026-07-20T17:14:54.281238,,,,,,,,,,,,
2020/2021,eng.1,E0,04/10/2020,Leicester,West Ham,0,3,A,A Madley,1.61,4.2,5.25,1.68,4.12,4.86,2026-07-20T17:14:54.281262,,,,,,,,,,,,
2020/2021,eng.1,E0,04/10/2020,Southampton,West Brom,2,0,H,C Kavanagh,1.72,3.8,4.75,1.76,3.86,4.58,2026-07-20T17:14:54.281287,,,,,,,,,,,,
2020/2021,eng.1,E0,04/10/2020,Arsenal,Sheffield United,2,1,H,L Mason,1.57,4.0,6.0,1.56,4.09,6.25,2026-07-20T17:14:54.281312,,,,,,,,,,,,
2020/2021,eng.1,E0,04/10/2020,Wolves,Fulham,1,0,H,D England,1.5,4.0,7.5,1.51,4.07,7.19,2026-07-20T17:14:54.281334,,,,,,,,,,,,
2020/2021,eng.1,E0,04/10/2020,Man United,Tottenham,1,6,A,A Taylor,1.85,3.8,4.0,1.92,3.71,3.97,2026-07-20T17:14:54.281351,,,,,,,,,,,,
2020/2021,eng.1,E0,04/10/2020,Aston Villa,Liverpool,7,2,H,M Atkinson,10.0,5.5,1.3,9.35,5.41,1.33,2026-07-20T17:14:54.281368,,,,,,,,,,,,
2020/2021,eng.1,E0,17/10/2020,Everton,Liverpool,2,2,D,M Oliver,3.75,4.2,1.83,3.91,4.08,1.85,2026-07-20T17:14:54.281385,,,,,,,,,,,,
2020/2021,eng.1,E0,17/10/2020,Chelsea,Southampton,3,3,D,P Bankes,1.45,4.75,6.5,1.53,4.56,5.92,2026-07-20T17:14:54.281401,,,,,,,,,,,,
2020/2021,eng.1,E0,17/10/2020,Man City,Arsenal,1,0,H,C Kavanagh,1.44,5.0,6.5,1.49,4.85,6.09,2026-07-20T17:14:54.281418,,,,,,,,,,,,
2020/2021,eng.1,E0,17/10/2020,Newcastle,Man United,1,4,A,C Pawson,4.75,4.0,1.66,4.78,4.08,1.7,2026-07-20T17:14:54.281435,,,,,,,,,,,,
2020/2021,eng.1,E0,18/10/2020,Sheffield United,Fulham,1,1,D,A Marriner,2.1,3.3,3.7,2.11,3.32,3.74,2026-07-20T17:14:54.281452,,,,,,,,,,,,
2020/2021,eng.1,E0,18/10/2020,Crystal Palace,Brighton,1,1,D,S Attwell,2.62,3.3,2.7,2.68,3.25,2.76,2026-07-20T17:14:54.281469,,,,,,,,,,,,
2020/2021,eng.1,E0,18/10/2020,Tottenham,West Ham,3,3,D,P Tierney,1.57,4.33,5.5,1.62,4.19,5.34,2026-07-20T17:14:54.281485,,,,,,,,,,,,
2020/2021,eng.1,E0,18/10/2020,Leicester,Aston Villa,0,1,A,J Moss,1.83,3.8,4.1,1.89,3.82,3.97,2026-07-20T17:14:54.281501,,,,,,,,,,,,
2020/2021,eng.1,E0,19/10/2020,West Brom,Burnley,0,0,D,A Taylor,2.45,3.3,2.9,2.49,3.3,2.97,2026-07-20T17:14:54.281518,,,,,,,,,,,,
2020/2021,eng.1,E0,19/10/2020,Leeds,Wolves,0,1,A,D Coote,2.5,3.3,2.87,2.5,3.26,2.97,2026-07-20T17:14:54.281541,,,,,,,,,,,,
2020/2021,eng.1,E0,23/10/2020,Aston Villa,Leeds,0,3,A,P Tierney,2.05,3.75,3.3,2.11,3.75,3.33,2026-07-20T17:14:54.281558,,,,,,,,,,,,
