outcome_id,event_id,league_slug,home_team_id,away_team_id,home_team_name,away_team_name,match_date,home_score,away_score,status,actual_outcome,home_xg,away_xg,fetched_at,recorded_at
37605,kor1_tSXSxps1,kor.1,,,Gangwon FC,Jeju SK,2026-07-01,1,1,,D,,,,
37606,kor1_vZkFbR3K,kor.1,,,Daejeon Hana Citizen,Jeonbuk Hyundai Motors,2026-07-01,0,0,,D,,,,
37607,kor1_EuWzyOBD,kor.1,,,Incheon United,Ulsan HD,2026-07-01,1,2,,A,,,,
37608,kor1_EHmlpSlR,kor.1,,,FC Anyang,Gwangju FC,2026-07-01,1,1,,D,,,,
37609,kor1_p0vKv6Cl,kor.1,,,Bucheon FC 1995,FC Seoul,2026-07-01,1,3,,A,,,,
37610,kor1_bqGxSSSr,kor.1,,,Daejeon Hana Citizen,Ulsan HD,2026-07-01,2,2,,D,,,,
37611,kor1_WdEpQ6ce,kor.1,,,Gangwon FC,Gimcheon Sangmu,2026-07-01,2,0,,H,,,,
37612,kor1_SO7gOpS7,kor.1,,,Incheon United,Jeonbuk Hyundai Motors,2026-07-01,1,0,,H,,,,
37613,kor1_h2aunlKE,kor.1,,,Jeju SK,Pohang Steelers,2026-07-01,2,1,,H,,,,
37614,kor1_hrybZAz9,kor.1,,,FC Anyang,Incheon United,2026-07-01,0,1,,A,,,,
37615,kor1_CnbBB7r2,kor.1,,,Daejeon Hana Citizen,Jeju SK,2026-07-01,0,0,,D,,,,
37616,kor1_vaZ5Xl5L,kor.1,,,Gangwon FC,FC Seoul,2026-07-01,0,0,,D,,,,
37617,kor1_ALxVVyUG,kor.1,,,Bucheon FC 1995,Gimcheon Sangmu,2026-07-01,1,1,,D,,,,
37618,kor1_4Mf3DTDk,kor.1,,,Gwangju FC,Pohang Steelers,2026-07-01,0,3,,A,,,,
37619,kor1_x8vNXca4,kor.1,,,Jeonbuk Hyundai Motors,Ulsan HD,2026-07-01,1,3,,A,,,,
37620,kor1_UivTBGxo,kor.1,,,Gimcheon Sangmu,Jeju SK,2026-07-01,1,1,,D,,,,
37621,kor1_dbWEZJUi,kor.1,,,Gwangju FC,Ulsan HD,2026-07-01,1,1,,D,,,,
37622,kor1_pK2dHxFN,kor.1,,,Incheon United,FC Seoul,2026-07-01,1,0,,H,,,,
37623,kor1_xfalJbpB,kor.1,,,FC Anyang,Pohang Steelers,2026-07-01,2,3,,A,,,,
37624,kor1_IiqmLKFb,kor.1,,,Bucheon FC 1995,Daejeon Hana Citizen,2026-07-01,2,2,,D,,,,
37625,kor1_pvouNton,kor.1,,,Gangwon FC,Jeonbuk Hyundai Motors,2026-07-01,1,2,,A,,,,
37626,kor1_6DFU2w0U,kor.1,,,Bucheon FC 1995,Pohang Steelers,2026-07-01,2,0,,H,,,,
37627,kor1_bmCM4aVH,kor.1,,,Gangwon FC,Ulsan HD,2026-07-01,2,0,,H,,,,
37628,kor1_WzL58sWh,kor.1,,,Gimcheon Sangmu,Jeonbuk Hyundai Motors,2026-07-01,1,0,,H,,,,
