league_slug,score,pct,rank
eng.1,1-1,11.988304093567251,1
eng.1,2-1,10.526315789473683,2
eng.1,0-1,8.187134502923977,3
eng.1,2-0,7.894736842105263,4
eng.1,1-2,7.309941520467836,5
eng.1,0-0,7.017543859649122,6
eng.1,3-0,7.017543859649122,7
eng.1,2-2,7.017543859649122,8
eng.1,1-0,6.140350877192982,9
eng.1,3-1,4.678362573099415,10
esp.1,1-1,15.416666666666668,1
esp.1,2-1,13.333333333333334,2
esp.1,1-0,10.416666666666668,3
esp.1,2-0,7.916666666666666,4
esp.1,0-2,6.25,5
esp.1,0-1,6.25,6
esp.1,1-2,5.833333333333333,7
esp.1,2-2,5.416666666666667,8
esp.1,3-1,4.166666666666666,9
esp.1,3-0,3.3333333333333335,10
ita.1,1-0,11.437908496732026,1
ita.1,0-1,10.457516339869281,2
ita.1,0-0,9.803921568627452,3
ita.1,2-1,9.803921568627452,4
ita.1,1-1,9.477124183006536,5
ita.1,1-2,8.169934640522875,6
ita.1,0-2,7.516339869281046,7
ita.1,2-0,6.209150326797386,8
ita.1,2-2,6.209150326797386,9
ita.1,0-3,3.594771241830065,10
ger.1,1-1,10.714285714285714,1
ger.1,1-0,8.571428571428571,2
ger.1,3-1,7.142857142857142,3
ger.1,0-1,5.714285714285714,4
ger.1,2-0,5.714285714285714,5
ger.1,1-2,5.714285714285714,6
ger.1,1-3,5.0,7
ger.1,0-3,5.0,8
ger.1,2-2,5.0,9
ger.1,4-0,4.285714285714286,10
fra.1,1-1,11.827956989247312,1
fra.1,1-0,9.67741935483871,2
fra.1,0-1,9.13978494623656,3
fra.1,0-0,7.526881720430108,4
fra.1,1-2,6.451612903225806,5
fra.1,2-0,5.913978494623656,6
fra.1,2-1,5.913978494623656,7
fra.1,0-2,4.838709677419355,8
fra.1,3-1,4.301075268817205,9
fra.1,2-2,4.301075268817205,10
kor.1,1-1,13.244047619047619,1
kor.1,1-0,10.863095238095239,2
kor.1,0-1,9.895833333333332,3
kor.1,0-0,8.779761904761903,4
kor.1,1-2,7.886904761904762,5
kor.1,2-0,7.738095238095238,6
kor.1,2-1,7.738095238095238,7
kor.1,2-2,6.175595238095238,8
kor.1,3-1,4.092261904761905,9
kor.1,0-2,3.943452380952381,10
swe.1,1-1,14.285714285714285,1
swe.1,2-0,10.476190476190476,2
swe.1,0-1,8.571428571428571,3
swe.1,2-2,7.6190476190476195,4
swe.1,2-1,7.6190476190476195,5
swe.1,1-2,7.6190476190476195,6
swe.1,3-0,5.714285714285714,7
swe.1,2-3,4.761904761904762,8
swe.1,3-2,3.8095238095238098,9
swe.1,0-0,2.857142857142857,10
uefa.champions,1-1,13.0,1
uefa.champions,1-0,11.0,2
uefa.champions,0-1,10.0,3
uefa.champions,0-0,9.0,4
uefa.champions,2-1,8.0,5
uefa.europa,1-1,13.0,1
uefa.europa,1-0,11.0,2
uefa.europa,0-1,10.0,3
uefa.europa,0-0,9.0,4
uefa.europa,2-1,8.0,5
uefa.europa.conf,1-1,13.0,1
uefa.europa.conf,1-0,11.0,2
uefa.europa.conf,0-1,10.0,3
uefa.europa.conf,0-0,9.0,4
uefa.europa.conf,2-1,8.0,5
uefa.europa.q2,1-1,11.11111111111111,1
uefa.europa.q2,0-0,11.11111111111111,2
uefa.europa.q2,0-1,11.11111111111111,3
uefa.europa.q2,1-2,11.11111111111111,4
uefa.europa.q2,1-0,11.11111111111111,5
