settle_id,settle_time,order_id,predicted_outcome,actual_outcome,is_correct,profit,stake,odds,note
9,2026-08-05T10:49:27.651093+08:00,5,home,draw,0,0.0,0.0,,
10,2026-08-05T10:49:27.651206+08:00,6,home,home,1,0.0,0.0,,
11,2026-08-05T10:49:27.651294+08:00,10,home,draw,0,0.0,0.0,,
12,2026-08-05T10:49:27.651346+08:00,11,home,home,1,0.0,0.0,,
13,2026-08-05T10:49:27.651488+08:00,23,home,home,1,0.0,0.0,,
14,2026-08-05T10:49:27.651545+08:00,24,home,away,0,0.0,0.0,,
15,2026-08-05T10:49:27.651623+08:00,25,home,home,1,0.0,0.0,,
16,2026-08-05T10:49:27.651694+08:00,26,home,home,1,0.0,0.0,,
17,2026-08-05T10:49:27.651786+08:00,27,home,home,1,0.0,0.0,,
18,2026-08-05T10:49:27.651862+08:00,28,draw,draw,1,0.0,0.0,,
19,2026-08-05T10:49:27.651936+08:00,29,home,home,1,0.0,0.0,,
20,2026-08-05T10:49:27.652010+08:00,30,away,draw,0,0.0,0.0,,
21,2026-08-05T10:51:04.199494+08:00,36,home,home,1,0.0,0.0,,
22,2026-08-05T10:51:04.199610+08:00,37,home,home,1,0.0,0.0,,
23,2026-08-05T10:51:04.199671+08:00,38,away,draw,0,0.0,0.0,,
24,2026-08-05T10:51:04.199741+08:00,39,away,home,0,0.0,0.0,,
25,2026-08-05T10:51:04.199803+08:00,41,home,home,1,0.0,0.0,,
26,2026-08-05T10:51:04.199850+08:00,42,home,home,1,0.0,0.0,,
27,2026-08-05T10:51:27.209466+08:00,33,home,draw,0,0.0,0.0,,
28,2026-08-05T10:51:27.209597+08:00,34,home,home,1,0.0,0.0,,
29,2026-08-13T00:00:02,20,home,away,0,0.0,0.0,,brier=1.1145 src=league_outcomes
30,2026-08-13T00:00:02,21,home,home,1,0.0,0.0,,brier=0.3847 src=league_outcomes
31,2026-08-13T00:00:02,22,home,home,1,0.0,0.0,,brier=0.2236 src=league_outcomes
32,2026-08-13T16:21:54.076175+08:00,76,home,draw,0,0.0,0.0,,
