id,league_slug,match_date,home_team,away_team,bookmaker,home_odds,draw_odds,away_odds,over_2_5_odds,under_2_5_odds,fetched_at
1753,eng.1,2025-08-15,Liverpool,AFC Bournemouth,B365,1.3,6.0,8.5,1.36,3.2,2026-07-27 11:39:40
1754,eng.1,2025-08-15,Liverpool,AFC Bournemouth,Pinnacle,1.28,6.56,9.07,1.37,3.26,2026-07-27 11:39:40
1755,eng.1,2025-08-15,Liverpool,AFC Bournemouth,Betway,1.32,5.5,7.5,,,2026-07-27 11:39:40
1756,eng.1,2025-08-15,Liverpool,AFC Bournemouth,Coral,1.33,5.75,8.0,,,2026-07-27 11:39:40
1757,eng.1,2025-08-15,Liverpool,AFC Bournemouth,Ladbrokes,1.33,5.75,7.5,,,2026-07-27 11:39:40
1758,eng.1,2025-08-16,Aston Villa,Newcastle United,B365,2.25,3.5,2.9,1.62,2.3,2026-07-27 11:39:40
1759,eng.1,2025-08-16,Aston Villa,Newcastle United,Pinnacle,2.24,3.72,3.13,1.65,2.33,2026-07-27 11:39:40
1760,eng.1,2025-08-16,Aston Villa,Newcastle United,Betway,2.3,3.6,2.87,,,2026-07-27 11:39:40
1761,eng.1,2025-08-16,Aston Villa,Newcastle United,Coral,2.3,3.6,2.87,,,2026-07-27 11:39:40
1762,eng.1,2025-08-16,Aston Villa,Newcastle United,Ladbrokes,2.3,3.6,2.87,,,2026-07-27 11:39:40
1763,eng.1,2025-08-16,Brighton & Hove Albion,Fulham,B365,1.91,3.6,4.0,1.73,2.1,2026-07-27 11:39:40
1764,eng.1,2025-08-16,Brighton & Hove Albion,Fulham,Pinnacle,1.94,3.73,3.98,1.76,2.15,2026-07-27 11:39:40
1765,eng.1,2025-08-16,Brighton & Hove Albion,Fulham,Betway,1.9,3.6,3.9,,,2026-07-27 11:39:40
1766,eng.1,2025-08-16,Brighton & Hove Albion,Fulham,Coral,1.91,3.6,3.9,,,2026-07-27 11:39:40
1767,eng.1,2025-08-16,Brighton & Hove Albion,Fulham,Ladbrokes,1.91,3.6,3.9,,,2026-07-27 11:39:40
1768,eng.1,2025-08-16,Sunderland,West Ham United,B365,3.25,3.4,2.25,1.93,1.93,2026-07-27 11:39:40
1769,eng.1,2025-08-16,Sunderland,West Ham United,Pinnacle,3.27,3.43,2.29,1.98,1.91,2026-07-27 11:39:40
1770,eng.1,2025-08-16,Sunderland,West Ham United,Betway,3.1,3.4,2.25,,,2026-07-27 11:39:40
1771,eng.1,2025-08-16,Sunderland,West Ham United,Coral,3.1,3.4,2.25,,,2026-07-27 11:39:40
1772,eng.1,2025-08-16,Sunderland,West Ham United,Ladbrokes,3.1,3.4,2.25,,,2026-07-27 11:39:40
1773,eng.1,2025-08-16,Tottenham Hotspur,Burnley,B365,1.38,4.75,8.5,1.73,2.1,2026-07-27 11:39:40
1774,eng.1,2025-08-16,Tottenham Hotspur,Burnley,Pinnacle,1.4,4.71,8.79,1.74,2.17,2026-07-27 11:39:40
1775,eng.1,2025-08-16,Tottenham Hotspur,Burnley,Betway,1.39,4.8,8.0,,,2026-07-27 11:39:40
1776,eng.1,2025-08-16,Tottenham Hotspur,Burnley,Coral,1.4,4.8,8.0,,,2026-07-27 11:39:40
1777,eng.1,2025-08-16,Tottenham Hotspur,Burnley,Ladbrokes,1.4,4.8,8.0,,,2026-07-27 11:39:40
1778,eng.1,2025-08-16,Wolverhampton Wanderers,Manchester City,B365,6.25,4.75,1.45,1.62,2.3,2026-07-27 11:39:40
1779,eng.1,2025-08-16,Wolverhampton Wanderers,Manchester City,Pinnacle,6.72,4.92,1.46,1.66,2.31,2026-07-27 11:39:40
1780,eng.1,2025-08-16,Wolverhampton Wanderers,Manchester City,Betway,6.75,4.6,1.46,,,2026-07-27 11:39:40
1781,eng.1,2025-08-16,Wolverhampton Wanderers,Manchester City,Coral,6.5,4.6,1.44,,,2026-07-27 11:39:40
1782,eng.1,2025-08-16,Wolverhampton Wanderers,Manchester City,Ladbrokes,6.5,4.6,1.44,,,2026-07-27 11:39:40
1783,eng.1,2025-08-17,Chelsea,Crystal Palace,B365,1.62,4.33,4.5,1.67,2.2,2026-07-27 11:39:40
1784,eng.1,2025-08-17,Chelsea,Crystal Palace,Pinnacle,1.66,4.12,5.25,1.67,2.29,2026-07-27 11:39:40
1785,eng.1,2025-08-17,Chelsea,Crystal Palace,Betway,1.6,4.2,5.25,,,2026-07-27 11:39:40
1786,eng.1,2025-08-17,Chelsea,Crystal Palace,Coral,1.6,4.2,5.25,,,2026-07-27 11:39:40
1787,eng.1,2025-08-17,Chelsea,Crystal Palace,Ladbrokes,1.6,4.2,5.0,,,2026-07-27 11:39:40
1788,eng.1,2025-08-17,Nott'm Forest,Brentford,B365,2.2,3.3,3.5,2.0,1.85,2026-07-27 11:39:40
1789,eng.1,2025-08-17,Nott'm Forest,Brentford,Pinnacle,2.25,3.38,3.4,2.01,1.88,2026-07-27 11:39:40
1790,eng.1,2025-08-17,Nott'm Forest,Brentford,Betway,2.15,3.4,3.4,,,2026-07-27 11:39:40
