player_id,espn_id,full_name,short_name,jersey_number,position,position_group,date_of_birth,age,height_cm,weight_kg,nationality,preferred_foot,current_team_id,created_at,updated_at,fc26_official_ea_id,fc26_official_ovr
1,321064,Noah Atubolu,N. Atubolu,1,G,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:56,262659,
2,219316,Philipp Lienhart,P. Lienhart,3,CD-L,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:43,231366,79
3,170209,Matthias Ginter,M. Ginter,28,CD-R,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:56,207862,82
4,364596,Philipp Treu,P. Treu,29,RB,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:43,262666,
5,171701,Lukas Kübler,L. Kübler,17,SUB,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:43,208335,
6,386992,Johan Manzambi,J. Manzambi,44,AM,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:56,276694,
7,149570,Nicolas Höfler,N. Höfler,27,SUB,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:56,199897,
8,214203,Maximilian Eggestein,M. Eggestein,8,RM,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:56,226168,
9,310883,Igor Matanovic,I. Matanovic,31,F,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:56,259750,
10,179571,Vincenzo Grifo,V. Grifo,32,AM-L,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:56,212096,80
11,231190,Niklas Beste,N. Beste,19,AM-R,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:56,240451,
12,122292,Florian Müller,F. Müller,21,SUB,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:56,234833,
13,169753,Anthony Jung,A. Jung,5,SUB,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:56,207897,
14,390031,Cyriaque Irié,C. Irié,22,SUB,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:56,74431,
15,291203,Patrick Osterhage,P. Osterhage,6,LM,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:56,250931,
