referee_name,games_total,leagues_covered,avg_yellows_per_game,avg_reds_per_game,avg_total_yellows,avg_total_goals,avg_fouls_per_game,avg_home_corners,latest_game_date,fetched_at,referee_q_id,referee_birth_year,referee_country,referee_career_years
Anthony Taylor,35,"eng.1,uefa.champions,uefa.europa,uefa.europa.conf",4.09,0.086,4.09,2.97,20.94,9.66,2026-05-24T15:00Z,2026-07-20T00:57:59.591191+00:00,Q4453759,197.0,Q145,1804.0
Craig Pawson,17,eng.1,2.59,0.118,2.59,3.12,20.94,9.88,2026-05-24T15:00Z,2026-07-20T00:57:59.591191+00:00,Q16734311,197.0,Q145,1804.0
Samuel Barrott,20,eng.1,3.8,0.05,3.8,3.0,19.5,9.5,2026-05-24T15:00Z,2026-07-20T00:57:59.591191+00:00,Q140471877,,Q21,
Robert Jones,19,"eng.1,uefa.europa.conf",4.42,0.0,4.42,2.79,21.21,8.79,2026-05-24T15:00Z,2026-07-20T00:57:59.591191+00:00,Q3435547,195.0,Q145,1806.0
Michael Oliver,32,"eng.1,uefa.champions,uefa.europa",3.28,0.062,3.28,3.06,22.69,11.03,2026-05-24T15:00Z,2026-07-20T00:57:59.591191+00:00,Q4333767,198.0,Q16467748,1803.0
Jarred Gillett,19,eng.1,3.58,0.105,3.58,2.79,19.68,9.95,2026-05-17T16:30Z,2026-07-20T00:57:59.591191+00:00,Q6160971,198.0,Q408,1803.0
Darren England,19,eng.1,4.42,0.105,4.42,2.68,21.74,8.95,2026-05-24T15:00Z,2026-07-20T00:57:59.591191+00:00,Q85755750,198.0,Q145,1803.0
Peter Bankes,20,eng.1,4.2,0.2,4.2,2.8,22.35,9.85,2026-02-28T17:30Z,2026-07-20T00:57:59.591191+00:00,Q66685153,198.0,,1803.0
Simon Hooper,13,eng.1,4.15,0.154,4.15,3.23,23.85,9.77,2026-02-10T20:15Z,2026-07-20T00:57:59.591191+00:00,Q62615015,198.0,Q145,1803.0
Chris Kavanagh,31,"eng.1,uefa.champions,uefa.europa,uefa.europa.conf",3.94,0.129,3.94,2.58,21.87,10.39,2026-05-24T15:00Z,2026-07-20T00:57:59.591191+00:00,Q39079273,198.0,Q145,1803.0
Thomas Bramall,18,eng.1,4.17,0.111,4.17,2.33,21.28,9.11,2026-05-01T19:00Z,2026-07-20T00:57:59.591191+00:00,Q113576482,,,
Tony Harrington,11,eng.1,3.18,0.091,3.18,2.09,20.0,11.27,2026-01-18T16:30Z,2026-07-20T00:57:59.591191+00:00,Q110153251,,Q145,
Michael Salisbury,10,eng.1,4.5,0.1,4.5,3.6,21.6,11.0,2026-05-17T11:30Z,2026-07-20T00:57:59.591191+00:00,Q126369784,,,
Stuart Attwell,21,eng.1,4.95,0.143,4.95,3.1,21.29,9.71,2026-05-19T19:15Z,2026-07-20T00:57:59.591191+00:00,Q2983341,198.0,Q145,1803.0
Andy Madley,13,eng.1,3.46,0.154,3.46,3.0,21.15,10.62,2026-05-24T15:00Z,2026-07-20T00:57:59.591191+00:00,Q19938282,198.0,Q145,1803.0
John Brooks,13,"eng.1,uefa.europa",4.23,0.231,4.23,2.69,22.08,9.38,2026-05-17T14:00Z,2026-07-20T00:57:59.591191+00:00,Q6223373,199.0,Q145,1802.0
Andrew Kitchen,3,eng.1,4.0,0.0,4.0,2.33,22.33,12.0,2026-05-24T15:00Z,2026-07-20T00:57:59.591191+00:00,Q28152061,,,
Tim Robinson,8,eng.1,4.62,0.25,4.62,2.25,23.0,10.62,2026-02-28T15:00Z,2026-07-20T00:57:59.591191+00:00,Q7804181,198.0,Q30,1803.0
Thomas Kirk,6,eng.1,3.17,0.5,3.17,2.0,24.0,8.83,2026-05-17T14:00Z,2026-07-20T00:57:59.591191+00:00,Q930525,182.0,Q664,1819.0
Paul Tierney,11,eng.1,3.64,0.182,3.64,2.18,19.55,9.18,2026-05-18T19:00Z,2026-07-20T00:57:59.591191+00:00,Q18128728,198.0,Q145,1803.0
Matt Donohue,2,eng.1,4.5,0.0,4.5,2.5,26.5,9.0,2026-01-07T19:30Z,2026-07-20T00:57:59.591191+00:00,,,,
Farai Hallam,5,eng.1,2.8,0.0,2.8,3.4,21.8,8.6,2026-05-24T15:00Z,2026-07-20T00:57:59.591191+00:00,Q137896147,,,
Javier Alberola Rojas,18,"esp.1,uefa.europa.conf",3.89,0.333,3.89,3.11,24.94,10.44,2026-05-17T17:00Z,2026-07-20T00:57:59.591191+00:00,Q26421088,199.0,Q29,1802.0
Alejandro Muñiz Ruiz,13,esp.1,5.69,0.462,5.69,2.92,24.77,11.85,2026-05-17T17:00Z,2026-07-20T00:57:59.591191+00:00,Q64995564,199.0,Q29,1802.0
José Luis Munuera Montero,17,"esp.1,uefa.europa.conf",4.47,0.412,4.47,2.59,26.82,8.65,2026-05-23T19:00Z,2026-07-20T00:57:59.591191+00:00,Q24992161,198.0,Q29,1803.0
Miguel Sesma Espinosa,18,esp.1,3.56,0.0,3.56,2.83,27.0,9.22,2026-05-24T19:00Z,2026-07-20T00:57:59.591191+00:00,Q130344259,199.0,Q29,1802.0
José María Sánchez Martínez,18,"esp.1,uefa.champions,uefa.europa",4.22,0.222,4.22,2.17,25.89,9.5,2026-05-17T17:00Z,2026-07-20T00:57:59.591191+00:00,Q20895842,198.0,Q29,1803.0
Iosu Galech Apezteguía,16,esp.1,4.94,0.438,4.94,2.44,28.44,8.62,2026-05-17T17:00Z,2026-07-20T00:57:59.591191+00:00,Q64995554,199.0,Q29,1802.0
Francisco José Hernández Maeso,17,esp.1,2.88,0.176,2.88,2.76,24.82,11.12,2026-05-23T19:00Z,2026-07-20T00:57:59.591191+00:00,Q98270881,198.0,Q29,1803.0
Mateo Busquets Ferrer,17,esp.1,5.47,0.353,5.47,2.65,23.29,8.59,2026-05-23T19:00Z,2026-07-20T00:57:59.591191+00:00,Q124463313,199.0,Q29,1802.0
Victor García Verdura,13,esp.1,4.15,0.231,4.15,2.38,24.38,8.69,2026-05-17T17:00Z,2026-07-20T00:57:59.591191+00:00,Q107185065,199.0,,1802.0
Adrián Cordero Vega,16,esp.1,3.94,0.188,3.94,2.56,23.19,10.88,2026-05-23T19:00Z,2026-07-20T00:57:59.591191+00:00,Q26524012,198.0,Q29,1803.0
Miguel Ángel Ortiz Arias,15,esp.1,3.87,0.267,3.87,2.6,22.8,10.6,2026-05-17T17:00Z,2026-07-20T00:57:59.591191+00:00,Q64995570,198.0,Q29,1803.0
José Luis Guzmán Mansilla,14,esp.1,5.36,0.286,5.36,2.29,25.5,8.07,2026-05-12T19:30Z,2026-07-20T00:57:59.591191+00:00,Q112829658,199.0,Q29,1802.0
César Soto Grado,16,esp.1,5.0,0.375,5.0,2.69,22.94,10.31,2026-04-05T19:00Z,2026-07-20T00:57:59.591191+00:00,Q55198068,198.0,Q29,1803.0
Alejandro José Hernández Hernández,18,"esp.1,uefa.champions",4.83,0.222,4.83,3.94,23.39,9.78,2026-05-23T19:00Z,2026-07-20T00:57:59.591191+00:00,Q5665140,198.0,Q29,1803.0
Jesús Gil Manzano,23,"esp.1,uefa.champions,uefa.europa,uefa.europa.conf",4.96,0.391,4.96,2.91,25.57,11.3,2026-05-23T19:00Z,2026-07-20T00:57:59.591191+00:00,Q5930156,198.0,Q29,1803.0
Alejandro Quintero González,16,esp.1,5.25,0.688,5.25,2.62,26.75,9.19,2026-05-23T19:00Z,2026-07-20T00:57:59.591191+00:00,Q107185457,199.0,Q29,1802.0
Guillermo Cuadra Fernández,15,esp.1,4.4,0.2,4.4,2.87,24.07,8.73,2026-05-17T19:15Z,2026-07-20T00:57:59.591191+00:00,Q26429580,198.0,Q29,1803.0
Ricardo de Burgos Bengoetxea,19,"esp.1,uefa.champions,uefa.europa",4.0,0.158,4.0,2.53,22.53,9.63,2026-05-17T17:00Z,2026-07-20T00:57:59.591191+00:00,Q20895850,198.0,Q29,1803.0
Juan Martínez Munuera,20,"esp.1,uefa.champions,uefa.europa,uefa.europa.conf",4.35,0.15,4.35,2.45,28.3,8.3,2026-05-23T19:00Z,2026-07-20T00:57:59.591191+00:00,Q13756920,198.0,Q29,1803.0
Isidro Díaz De Mera Escuderos,19,esp.1,5.26,0.632,5.26,2.89,25.26,9.21,2026-05-17T17:00Z,2026-07-20T00:57:59.591191+00:00,Q26696021,198.0,Q29,1803.0
Víctor García Acosta,2,esp.1,1.5,0.0,1.5,2.0,18.5,10.5,2026-01-03T20:00Z,2026-07-20T00:57:59.591191+00:00,,,,
José Hernández García,1,esp.1,5.0,0.0,5.0,2.0,24.0,5.0,2025-12-14T15:15Z,2026-07-20T00:57:59.591191+00:00,Q102162532,,,
José María Sánchez Santos,1,esp.1,3.0,0.0,3.0,3.0,18.0,10.0,2026-05-23T19:00Z,2026-07-20T00:57:59.591191+00:00,,,,
Jeremie Pignard,17,"fra.1,uefa.europa.conf",4.41,0.412,4.41,3.06,22.53,10.88,2026-05-17T19:00Z,2026-07-20T00:57:59.591191+00:00,Q112579214,198.0,Q142,1803.0
Romain Lissorgue,10,fra.1,4.0,0.2,4.0,3.1,25.6,10.3,2026-04-10T17:00Z,2026-07-20T00:57:59.591191+00:00,Q125578377,199.0,Q142,1802.0
Ruddy Buquet,13,fra.1,2.85,0.154,2.85,3.15,24.08,8.92,2026-05-17T19:00Z,2026-07-20T00:57:59.591191+00:00,Q3446633,197.0,Q142,1804.0
Thomas Leonard,15,fra.1,4.13,0.2,4.13,2.47,24.2,11.33,2026-05-02T19:05Z,2026-07-20T00:57:59.591191+00:00,Q124662710,,,
Clément Turpin,20,"fra.1,uefa.champions",3.5,0.25,3.5,2.8,22.7,9.55,2026-05-17T19:00Z,2026-07-20T00:57:59.591191+00:00,Q1103944,198.0,Q142,1803.0
Abdelatif Kherradji,9,fra.1,4.0,0.444,4.0,2.33,29.0,9.11,2026-04-12T15:15Z,2026-07-20T00:57:59.591191+00:00,Q140525621,198.0,Q142,1803.0
Francois Letexier,23,"fra.1,uefa.champions,uefa.europa",4.35,0.348,4.35,2.96,23.35,9.78,2026-05-20T19:00Z,2026-07-20T00:57:59.591191+00:00,Q47463621,198.0,Q142,1803.0
Mathieu Vernice,12,fra.1,4.33,0.417,4.33,2.17,27.67,8.92,2026-05-17T19:00Z,2026-07-20T00:57:59.591191+00:00,Q121507764,199.0,Q142,1802.0
Benoit Bastien,20,"fra.1,uefa.champions,uefa.europa.conf",3.3,0.2,3.3,3.3,21.5,9.25,2026-05-17T19:00Z,2026-07-20T00:57:59.591191+00:00,Q8309001,198.0,Q142,1803.0
Hakim Ben El Hadj,9,fra.1,2.89,0.333,2.89,2.89,22.33,10.78,2026-04-12T15:15Z,2026-07-20T00:57:59.591191+00:00,Q74422820,197.0,Q142,1804.0
Marc Bollengier,15,fra.1,4.47,0.333,4.47,3.07,26.67,9.07,2026-05-03T15:15Z,2026-07-20T00:57:59.591191+00:00,Q122819996,199.0,Q142,1802.0
Jeremy Stinat,11,fra.1,4.36,0.545,4.36,2.64,23.36,9.64,2026-04-19T15:15Z,2026-07-20T00:57:59.591191+00:00,Q735879,197.0,Q142,1804.0
Eric Wattellier,15,fra.1,3.0,0.333,3.0,3.8,20.8,9.47,2026-05-03T15:15Z,2026-07-20T00:57:59.591191+00:00,Q67214276,198.0,Q142,1803.0
Jerome Brisard,16,"fra.1,uefa.europa",4.69,0.562,4.69,2.75,23.81,8.38,2026-04-05T15:15Z,2026-07-20T00:57:59.591191+00:00,Q59534803,198.0,Q142,1803.0
Guillaume Paradis,14,fra.1,4.0,0.143,4.0,2.0,24.14,9.14,2026-05-17T19:00Z,2026-07-20T00:57:59.591191+00:00,Q140600049,199.0,Q142,1802.0
Benoit Millot,12,fra.1,3.5,0.083,3.5,2.67,26.33,9.75,2026-05-13T17:00Z,2026-07-20T00:57:59.591191+00:00,Q8306814,198.0,Q142,1803.0
Bastien Dechepy,12,fra.1,3.92,0.25,3.92,2.58,24.58,9.33,2026-05-02T15:00Z,2026-07-20T00:57:59.591191+00:00,Q122830394,198.0,Q142,1803.0
Willy Delajod,16,"fra.1,uefa.europa",3.19,0.312,3.19,2.75,23.94,9.5,2026-05-17T19:00Z,2026-07-20T00:57:59.591191+00:00,Q69885093,199.0,Q142,1802.0
Stephanie Frappart,13,fra.1,3.54,0.0,3.54,3.0,23.54,9.08,2026-05-17T19:00Z,2026-07-20T00:57:59.591191+00:00,Q19914324,198.0,Q142,1803.0
Gael Angoula,12,fra.1,3.33,0.083,3.33,3.17,20.5,12.5,2026-05-03T15:15Z,2026-07-20T00:57:59.591191+00:00,Q27481,198.0,Q142,1803.0
Florian Badstübner,15,"ger.1,uefa.europa.conf",2.8,0.067,2.8,3.0,22.87,7.47,2026-05-03T15:30Z,2026-07-20T00:57:59.591191+00:00,Q97013905,199.0,Q183,1802.0
Benjamin Brand,12,ger.1,3.17,0.083,3.17,3.33,19.42,11.58,2026-04-18T13:30Z,2026-07-20T00:57:59.591191+00:00,Q20739201,198.0,Q183,1803.0
Robert Hartmann,11,ger.1,3.55,0.091,3.55,3.45,23.91,8.73,2026-05-16T13:30Z,2026-07-20T00:57:59.591191+00:00,Q68312,183.0,Q151624,1818.0
Daniel Siebert,24,"ger.1,uefa.champions",4.21,0.125,4.21,3.08,21.83,9.54,2026-05-30T16:00Z,2026-07-20T00:57:59.591191+00:00,Q15804526,198.0,Q183,1803.0
Harm Osmers,14,"ger.1,uefa.europa",4.5,0.214,4.5,3.21,19.64,8.14,2026-04-04T13:30Z,2026-07-20T00:57:59.591191+00:00,Q5659010,198.0,Q183,1803.0
Felix Zwayer,19,"ger.1,uefa.champions,uefa.europa,uefa.europa.conf",4.84,0.263,4.84,3.11,22.0,10.74,2026-04-30T19:00Z,2026-07-20T00:57:59.591191+00:00,Q1403916,198.0,Q183,1803.0
Matthias Jöllenbeck,12,ger.1,4.08,0.083,4.08,3.33,20.25,11.67,2026-04-17T18:30Z,2026-07-20T00:57:59.591191+00:00,Q104421527,198.0,,1803.0
Tobias Stieler,17,"ger.1,uefa.champions,uefa.europa,uefa.europa.conf",3.41,0.235,3.41,2.76,20.59,8.29,2026-05-16T13:30Z,2026-07-20T00:57:59.591191+00:00,Q2438001,198.0,Q183,1803.0
Sascha Stegemann,17,"ger.1,uefa.europa,uefa.europa.conf",3.76,0.235,3.76,3.24,21.94,10.59,2026-05-16T13:30Z,2026-07-20T00:57:59.591191+00:00,Q17326045,198.0,Q183,1803.0
Christian Dingert,9,ger.1,4.11,0.444,4.11,2.67,24.0,7.56,2026-04-11T13:30Z,2026-07-20T00:57:59.591191+00:00,Q1079290,198.0,Q183,1803.0
Frank Willenborg,9,ger.1,4.56,0.111,4.56,3.44,20.78,9.78,2026-05-16T13:30Z,2026-07-20T00:57:59.591191+00:00,Q1444454,197.0,Q183,1804.0
Timo Gerach,8,ger.1,4.62,0.125,4.62,2.62,21.38,9.0,2026-05-03T13:30Z,2026-07-20T00:57:59.591191+00:00,Q112111022,198.0,Q183,1803.0
Sven Jablonski,21,"ger.1,uefa.champions,uefa.europa,uefa.europa.conf",3.33,0.095,3.33,3.29,23.14,9.62,2026-04-16T16:45Z,2026-07-20T00:57:59.591191+00:00,Q31178673,199.0,Q183,1802.0
Robin Braun,8,ger.1,4.25,0.25,4.25,2.88,20.88,8.75,2026-03-21T14:30Z,2026-07-20T00:57:59.591191+00:00,Q7352268,195.0,Q30,1806.0
Florian Exner,9,ger.1,4.67,0.111,4.67,3.78,21.22,10.33,2026-04-18T13:30Z,2026-07-20T00:57:59.591191+00:00,Q108001630,199.0,Q183,1802.0
Sören Storks,12,ger.1,5.08,0.5,5.08,3.42,21.0,9.58,2026-04-19T15:30Z,2026-07-20T00:57:59.591191+00:00,Q32389260,198.0,Q183,1803.0
Daniel Schlager,15,"ger.1,uefa.europa,uefa.europa.conf",4.27,0.4,4.27,3.2,20.87,8.33,2026-05-02T13:30Z,2026-07-20T00:57:59.591191+00:00,Q54475730,198.0,Q183,1803.0
Tobias Reichel,8,ger.1,3.62,0.25,3.62,3.62,20.75,11.5,2026-04-12T13:30Z,2026-07-20T00:57:59.591191+00:00,Q97649230,198.0,,1803.0
Deniz Aytekin,12,ger.1,3.58,0.5,3.58,2.33,19.25,10.67,2026-05-16T13:30Z,2026-07-20T00:57:59.591191+00:00,Q99297,197.0,Q183,1804.0
Tobias Welz,14,ger.1,4.86,0.143,4.86,2.71,23.0,10.57,2026-05-16T13:30Z,2026-07-20T00:57:59.591191+00:00,Q2438067,197.0,Q183,1804.0
Bastian Dankert,12,ger.1,2.83,0.083,2.83,3.08,19.0,8.5,2026-05-16T13:30Z,2026-07-20T00:57:59.591191+00:00,Q4868282,198.0,Q183,1803.0
Martin Petersen,6,ger.1,5.67,0.0,5.67,3.0,22.5,12.83,2026-02-14T14:30Z,2026-07-20T00:57:59.591191+00:00,Q15834222,198.0,Q183,1803.0
Patrick Ittrich,9,ger.1,2.78,0.0,2.78,3.67,17.11,10.67,2026-05-16T13:30Z,2026-07-20T00:57:59.591191+00:00,Q15431974,197.0,Q183,1804.0
Robert Schröder,5,"ger.1,uefa.europa.conf",4.8,0.0,4.8,2.2,24.8,10.0,2026-04-04T16:30Z,2026-07-20T00:57:59.591191+00:00,Q54475837,198.0,Q183,1803.0
Davide Massa,21,"ita.1,uefa.champions,uefa.europa",4.29,0.429,4.29,2.43,27.24,8.33,2026-05-17T10:00Z,2026-07-20T00:57:59.591191+00:00,Q3703575,198.0,Q38,1803.0
Giovanni Ayroldi,9,ita.1,4.67,0.222,4.67,2.11,30.22,7.89,2026-05-03T16:00Z,2026-07-20T00:57:59.591191+00:00,Q83643614,199.0,Q38,1802.0
Giuseppe Collu,12,ita.1,4.42,0.333,4.42,1.67,22.25,8.42,2026-03-20T19:45Z,2026-07-20T00:57:59.591191+00:00,Q123339850,199.0,Q38,1802.0
Luca Zufferli,14,ita.1,3.0,0.071,3.0,2.21,25.21,9.64,2026-05-24T19:45Z,2026-07-20T00:57:59.591191+00:00,Q58042486,199.0,Q38,1802.0
Simone Sozza,19,"ita.1,uefa.champions,uefa.europa,uefa.europa.conf",3.79,0.316,3.79,2.42,25.21,10.05,2026-05-24T18:45Z,2026-07-20T00:57:59.591191+00:00,Q57198170,198.0,Q38,1803.0
