fixture_id,actual,pred,p_home,p_draw,p_away,brier,hit
7,home,home,0.6364,0.2461,0.1176,0.20659993000000004,1
9,home,home,0.4862,0.277,0.2368,0.3967936800000001,1
11,draw,home,0.5474,0.2458,0.2068,0.91123064,0
13,home,home,0.5734,0.242,0.1846,0.27462872,1
15,draw,away,0.2163,0.2207,0.563,0.9710631799999999,0
17,draw,home,0.5826,0.2485,0.1689,0.9327022200000001,0
19,away,home,0.4045,0.2703,0.3252,0.6920373800000001,0
21,home,home,0.4156,0.2878,0.2966,0.51232376,1
23,home,home,0.7573,0.1883,0.0544,0.09731954000000001,1
25,draw,home,0.5829,0.2406,0.1765,0.9476130199999998,0
27,home,home,0.4443,0.2943,0.2615,0.46379723000000006,1
29,home,home,0.5701,0.2349,0.195,0.27801701999999995,1
31,draw,home,0.6655,0.2596,0.0749,0.99669242,0
33,draw,home,0.559,0.2468,0.1942,0.9175048800000001,0
35,draw,away,0.2681,0.2691,0.4628,0.8202762600000001,0
37,draw,home,0.6101,0.2364,0.1535,0.9788692200000001,0
39,home,home,0.5742,0.2393,0.1865,0.27335237999999995,1
41,away,away,0.2729,0.2208,0.5063,0.36696674,1
43,home,home,0.6988,0.2179,0.0833,0.14514074000000002,1
45,home,home,0.5906,0.2409,0.1685,0.25403342,1
47,draw,home,0.6389,0.2431,0.118,0.9950148200000002,0
49,home,home,0.5604,0.2466,0.1929,0.29127012999999996,1
52,home,home,0.5051,0.3113,0.1836,0.37554266000000003,1
54,away,away,0.1995,0.2208,0.5797,0.26520498000000003,1
56,draw,home,0.4331,0.2765,0.2905,0.7954181100000001,0
59,home,home,0.6434,0.2389,0.1177,0.19809005999999998,1
61,home,home,0.615,0.2238,0.1612,0.22429688,1
63,home,home,0.5988,0.2531,0.1481,0.24695466,1
65,home,home,0.5301,0.2537,0.2163,0.33195538999999996,1
68,away,away,0.2925,0.2679,0.4396,0.47137482,1
71,home,home,0.7247,0.2075,0.0677,0.12342963,1
73,away,home,0.4934,0.2768,0.2298,0.9132698400000001,0
75,home,home,0.6525,0.222,0.1255,0.18579050000000003,1
77,home,home,0.6463,0.2355,0.1182,0.19453518,1
81,draw,home,0.6109,0.2499,0.1392,0.95522546,0
87,away,away,0.2884,0.2257,0.4859,0.39841386,1
89,home,home,0.7278,0.2242,0.048,0.12666248,1
93,draw,home,0.5604,0.2568,0.1827,0.8997736900000001,0
96,draw,home,0.5238,0.2747,0.2016,0.8410690900000002,0
98,away,away,0.3015,0.2396,0.459,0.4409914099999999,1
