review_id,fixture_id,prediction_id,review_hash,reviewed_at,brier_score,matched_patterns_json,review_json
1,7,7,1b08dc4c4abd86fbf5c1e92846461be65c86440e9008acc84e89d8578cec0004,2026-07-18T22:19:51.594360,0.07978199999999998,[],"{""timestamp"":""2026-07-18T22:19:51.594360"",""match"":""墨西哥 vs 南非"",""stage"":""group"",""predicted"":{""home_win_prob"":79.5,""draw_prob"":19.4,""away_win_prob"":1.1},""actual"":{""score"":""2-0"",""outcome"":""home""},""probability_error"":{""predicted_outcome"":""home"",""actual_outcome"":""home"",""predicted_prob"":0.795,""actual_prob"":1.0,""brier_score"":0.0798,""upset"":false,""error_magnitude"":0.295,""score"":""2-0""},""matched_patterns"":[],""dual_column_review"":[{""column_1_what_went_wrong"":""预测 home 胜 (80%), 实际 home (2-0) - 方向正确"",""column_2_pattern"":""NONE (预测正确)"",""column_3_skill_update"":""Brier Score 0.080, 校准良好""}],""skill_updates_suggested"":[],""rule_9_compliance"":true}"
2,9,9,8a50923af9a610d8bc8656713e1436df66c40ce1ef3c6aababa350f5caf2a761,2026-07-18T22:19:53.291932,0.452454,"[""M6_passive_degradation""]","{""timestamp"":""2026-07-18T22:19:53.291932"",""match"":""韩国 vs 捷克"",""stage"":""group"",""predicted"":{""home_win_prob"":48.3,""draw_prob"":41.9,""away_win_prob"":9.8},""actual"":{""score"":""2-1"",""outcome"":""home""},""probability_error"":{""predicted_outcome"":""home"",""actual_outcome"":""home"",""predicted_prob"":0.483,""actual_prob"":1.0,""brier_score"":0.4525,""upset"":false,""error_magnitude"":0.017,""score"":""2-1""},""matched_patterns"":[""M6_passive_degradation""],""dual_column_review"":[{""column_1_what_went_wrong"":""预测 home 胜 (48%), 实际 home (2-1) - 方向正确"",""column_2_pattern"":""NONE (预测正确)"",""column_3_skill_update"":""Brier Score 0.453, 需要更多数据""}],""skill_updates_suggested"":[{""pattern_id"":""M6_passive_degradation"",""pattern_name"":""被动降级陷阱"",""description"":""数据缺失时静默跳过, 不主动获取"",""suggested_fix"":""强制主动获取实时数据 (Rule 10)"",""priority"":""medium""}],""rule_9_compliance"":true}"
3,11,11,1f5db55c9cf2a02cdfdfcce2fcfeaca5a3e9b8f54b3a94b73f163033b3f54d13,2026-07-18T22:19:58.436783,1.116158,[],"{""timestamp"":""2026-07-18T22:19:58.436783"",""match"":""加拿大 vs 波黑"",""stage"":""group"",""predicted"":{""home_win_prob"":73.0,""draw_prob"":23.7,""away_win_prob"":3.3},""actual"":{""score"":""1-1"",""outcome"":""draw""},""probability_error"":{""predicted_outcome"":""home"",""actual_outcome"":""draw"",""predicted_prob"":0.73,""actual_prob"":1.0,""brier_score"":1.1162,""upset"":true,""error_magnitude"":0.73,""score"":""1-1""},""matched_patterns"":[],""dual_column_review"":[{""column_1_what_went_wrong"":""预测 home 胜 (73%), 实际 draw (1-1)"",""column_2_pattern"":""M_UNKNOWN"",""column_3_skill_update"":""N/A""}],""skill_updates_suggested"":[],""rule_9_compliance"":true}"
4,13,13,93fab0f150be3bad9aecacc7edfa8ed1aa2e58460abfa9cc308a55d87447431e,2026-07-18T22:20:00.014889,0.17858400000000005,"[""M6_passive_degradation""]","{""timestamp"":""2026-07-18T22:20:00.014889"",""match"":""美国 vs 巴拉圭"",""stage"":""group"",""predicted"":{""home_win_prob"":66.6,""draw_prob"":24.2,""away_win_prob"":9.2},""actual"":{""score"":""4-1"",""outcome"":""home""},""probability_error"":{""predicted_outcome"":""home"",""actual_outcome"":""home"",""predicted_prob"":0.666,""actual_prob"":1.0,""brier_score"":0.1786,""upset"":false,""error_magnitude"":0.166,""score"":""4-1""},""matched_patterns"":[""M6_passive_degradation""],""dual_column_review"":[{""column_1_what_went_wrong"":""预测 home 胜 (67%), 实际 home (4-1) - 方向正确"",""column_2_pattern"":""NONE (预测正确)"",""column_3_skill_update"":""Brier Score 0.179, 校准良好""}],""skill_updates_suggested"":[{""pattern_id"":""M6_passive_degradation"",""pattern_name"":""被动降级陷阱"",""description"":""数据缺失时静默跳过, 不主动获取"",""suggested_fix"":""强制主动获取实时数据 (Rule 10)"",""priority"":""medium""}],""rule_9_compliance"":true}"
5,15,15,8e7c074e3908d303194907227b8008ff7fd6b7718b590d63bfad553369eeb936,2026-07-18T22:20:01.844363,1.1714960000000003,[],"{""timestamp"":""2026-07-18T22:20:01.844363"",""match"":""卡塔尔 vs 瑞士"",""stage"":""group"",""predicted"":{""home_win_prob"":9.4,""draw_prob"":19.2,""away_win_prob"":71.4},""actual"":{""score"":""1-1"",""outcome"":""draw""},""probability_error"":{""predicted_outcome"":""away"",""actual_outcome"":""draw"",""predicted_prob"":0.714,""actual_prob"":1.0,""brier_score"":1.1715,""upset"":true,""error_magnitude"":0.714,""score"":""1-1""},""matched_patterns"":[],""dual_column_review"":[{""column_1_what_went_wrong"":""预测 away 胜 (71%), 实际 draw (1-1)"",""column_2_pattern"":""M_UNKNOWN"",""column_3_skill_update"":""N/A""}],""skill_updates_suggested"":[],""rule_9_compliance"":true}"
6,17,17,e61ed07347b16cd8f4a650b7a869ad10352ab322fea143a8122382fb872715eb,2026-07-18T22:20:03.392338,1.141742,[],"{""timestamp"":""2026-07-18T22:20:03.392338"",""match"":""巴西 vs 摩洛哥"",""stage"":""group"",""predicted"":{""home_win_prob"":75.0,""draw_prob"":23.9,""away_win_prob"":1.1},""actual"":{""score"":""1-1"",""outcome"":""draw""},""probability_error"":{""predicted_outcome"":""home"",""actual_outcome"":""draw"",""predicted_prob"":0.75,""actual_prob"":1.0,""brier_score"":1.1417,""upset"":true,""error_magnitude"":0.75,""score"":""1-1""},""matched_patterns"":[],""dual_column_review"":[{""column_1_what_went_wrong"":""预测 home 胜 (75%), 实际 draw (1-1)"",""column_2_pattern"":""M_UNKNOWN"",""column_3_skill_update"":""N/A""}],""skill_updates_suggested"":[],""rule_9_compliance"":true}"
7,19,19,be65ae700f848c64b17217f8055a7eb6c0a2bb3ad423685f035c3298c57d5861,2026-07-18T22:20:14.136900,0.195566,"[""M6_passive_degradation""]","{""timestamp"":""2026-07-18T22:20:14.136900"",""match"":""海地 vs 苏格兰"",""stage"":""group"",""predicted"":{""home_win_prob"":17.4,""draw_prob"":18.7,""away_win_prob"":63.9},""actual"":{""score"":""0-1"",""outcome"":""away""},""probability_error"":{""predicted_outcome"":""away"",""actual_outcome"":""away"",""predicted_prob"":0.639,""actual_prob"":1.0,""brier_score"":0.1956,""upset"":false,""error_magnitude"":0.139,""score"":""0-1""},""matched_patterns"":[""M6_passive_degradation""],""dual_column_review"":[{""column_1_what_went_wrong"":""预测 away 胜 (64%), 实际 away (0-1) - 方向正确"",""column_2_pattern"":""NONE (预测正确)"",""column_3_skill_update"":""Brier Score 0.196, 校准良好""}],""skill_updates_suggested"":[{""pattern_id"":""M6_passive_degradation"",""pattern_name"":""被动降级陷阱"",""description"":""数据缺失时静默跳过, 不主动获取"",""suggested_fix"":""强制主动获取实时数据 (Rule 10)"",""priority"":""medium""}],""rule_9_compliance"":true}"
8,21,21,d50b9a4fdeb4fb4a89c9df5260899a494fc99784f595c54c63910f68c77ee629,2026-07-18T22:20:16.385828,0.39456800000000003,[],"{""timestamp"":""2026-07-18T22:20:16.385828"",""match"":""澳大利亚 vs 土耳其"",""stage"":""group"",""predicted"":{""home_win_prob"":49.8,""draw_prob"":34.2,""away_win_prob"":16.0},""actual"":{""score"":""2-0"",""outcome"":""home""},""probability_error"":{""predicted_outcome"":""home"",""actual_outcome"":""home"",""predicted_prob"":0.498,""actual_prob"":1.0,""brier_score"":0.3946,""upset"":false,""error_magnitude"":0.002,""score"":""2-0""},""matched_patterns"":[],""dual_column_review"":[{""column_1_what_went_wrong"":""预测 home 胜 (50%), 实际 home (2-0) - 方向正确"",""column_2_pattern"":""NONE (预测正确)"",""column_3_skill_update"":""Brier Score 0.395, 需要更多数据""}],""skill_updates_suggested"":[],""rule_9_compliance"":true}"
9,23,23,39f41706f1000f333ec12636c63c0fc0ba24b8d14e1f361037fd4146997986b7,2026-07-18T22:20:22.864762,0.05931800000000001,"[""M6_passive_degradation""]","{""timestamp"":""2026-07-18T22:20:22.864762"",""match"":""德国 vs 库拉索"",""stage"":""group"",""predicted"":{""home_win_prob"":82.3,""draw_prob"":16.7,""away_win_prob"":1.0},""actual"":{""score"":""7-1"",""outcome"":""home""},""probability_error"":{""predicted_outcome"":""home"",""actual_outcome"":""home"",""predicted_prob"":0.823,""actual_prob"":1.0,""brier_score"":0.0593,""upset"":false,""error_magnitude"":0.323,""score"":""7-1""},""matched_patterns"":[""M6_passive_degradation""],""dual_column_review"":[{""column_1_what_went_wrong"":""预测 home 胜 (82%), 实际 home (7-1) - 方向正确"",""column_2_pattern"":""NONE (预测正确)"",""column_3_skill_update"":""Brier Score 0.059, 校准良好""}],""skill_updates_suggested"":[{""pattern_id"":""M6_passive_degradation"",""pattern_name"":""被动降级陷阱"",""description"":""数据缺失时静默跳过, 不主动获取"",""suggested_fix"":""强制主动获取实时数据 (Rule 10)"",""priority"":""high""}],""rule_9_compliance"":true}"
10,25,25,284ef1631cce6f28a0d33f60b897e7af42efd062f35c70730567e452ceeaa05a,2026-07-18T22:20:31.601700,1.044782,"[""M6_passive_degradation""]","{""timestamp"":""2026-07-18T22:20:31.601700"",""match"":""荷兰 vs 日本"",""stage"":""group"",""predicted"":{""home_win_prob"":62.6,""draw_prob"":20.9,""away_win_prob"":16.5},""actual"":{""score"":""2-2"",""outcome"":""draw""},""probability_error"":{""predicted_outcome"":""home"",""actual_outcome"":""draw"",""predicted_prob"":0.626,""actual_prob"":1.0,""brier_score"":1.0448,""upset"":true,""error_magnitude"":0.626,""score"":""2-2""},""matched_patterns"":[""M6_passive_degradation""],""dual_column_review"":[{""column_1_what_went_wrong"":""预测 home 胜 (63%), 实际 draw (2-2)"",""column_2_pattern"":""M6_passive_degradation"",""column_3_skill_update"":""强制主动获取实时数据 (Rule 10)""}],""skill_updates_suggested"":[{""pattern_id"":""M6_passive_degradation"",""pattern_name"":""被动降级陷阱"",""description"":""数据缺失时静默跳过, 不主动获取"",""suggested_fix"":""强制主动获取实时数据 (Rule 10)"",""priority"":""high""}],""rule_9_compliance"":true}"
