team_player_id,team_id,player_id,jersey_number,position,is_starter,season,source,fetched_at
1,126,1,1,G,1,2025-2026,espn_summary,2026-08-12 10:06:22
2,126,2,3,CD-L,1,2025-2026,espn_summary,2026-08-12 10:06:22
3,126,3,28,CD-R,1,2025-2026,espn_summary,2026-08-12 10:06:22
4,126,4,29,LB,1,2025-2026,espn_summary,2026-08-12 10:06:22
5,126,5,17,RB,1,2025-2026,espn_summary,2026-08-12 10:06:22
6,126,6,44,AM,1,2025-2026,espn_summary,2026-08-12 10:06:22
7,126,7,27,LM,1,2025-2026,espn_summary,2026-08-12 10:06:22
8,126,8,8,RM,1,2025-2026,espn_summary,2026-08-12 10:06:22
9,126,9,31,F,1,2025-2026,espn_summary,2026-08-12 10:06:22
10,126,10,32,AM-L,1,2025-2026,espn_summary,2026-08-12 10:06:22
11,126,11,19,AM-R,1,2025-2026,espn_summary,2026-08-12 10:06:22
12,126,12,21,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
13,126,13,5,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
14,126,14,22,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
15,126,15,6,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
16,126,16,43,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
17,126,17,9,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
18,126,18,24,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
19,126,19,37,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
20,126,20,7,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
21,126,21,26,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
22,126,22,33,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
23,126,23,30,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
24,362,24,23,G,1,2025-2026,espn_summary,2026-08-12 10:06:22
25,362,25,14,CD-L,1,2025-2026,espn_summary,2026-08-12 10:06:22
26,362,26,4,CD-R,1,2025-2026,espn_summary,2026-08-12 10:06:22
27,362,27,12,LB,1,2025-2026,espn_summary,2026-08-12 10:06:22
28,362,28,2,RB,1,2025-2026,espn_summary,2026-08-12 10:06:22
29,362,29,27,AM,1,2025-2026,espn_summary,2026-08-12 10:06:22
30,362,30,8,LM,1,2025-2026,espn_summary,2026-08-12 10:06:22
31,362,31,3,RM,1,2025-2026,espn_summary,2026-08-12 10:06:22
32,362,32,11,F,1,2025-2026,espn_summary,2026-08-12 10:06:22
33,362,33,10,AM-L,1,2025-2026,espn_summary,2026-08-12 10:06:22
34,362,34,7,AM-R,1,2025-2026,espn_summary,2026-08-12 10:06:22
35,362,35,16,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
36,362,36,19,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
37,362,37,18,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
38,362,38,40,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
39,362,39,24,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
40,362,40,22,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
41,362,41,5,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
42,362,42,26,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
43,362,43,21,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
44,362,44,64,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
45,362,45,9,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
46,362,46,31,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:22
47,160,47,39,G,1,2025-2026,espn_summary,2026-08-12 10:06:49
48,160,48,51,CD-L,1,2025-2026,espn_summary,2026-08-12 10:06:49
49,160,49,5,CD-R,1,2025-2026,espn_summary,2026-08-12 10:06:49
50,160,50,25,LB,1,2025-2026,espn_summary,2026-08-12 10:06:49
51,160,51,2,RB,1,2025-2026,espn_summary,2026-08-12 10:06:49
52,160,52,17,CM,1,2025-2026,espn_summary,2026-08-12 10:06:49
53,160,53,8,LM,1,2025-2026,espn_summary,2026-08-12 10:06:49
54,160,54,87,RM,1,2025-2026,espn_summary,2026-08-12 10:06:49
55,160,55,10,F,1,2025-2026,espn_summary,2026-08-12 10:06:49
56,160,56,7,LF,1,2025-2026,espn_summary,2026-08-12 10:06:49
57,160,57,14,RF,1,2025-2026,espn_summary,2026-08-12 10:06:49
58,160,58,33,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
59,160,59,6,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
60,160,60,49,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
61,160,61,24,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
62,160,62,9,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
63,160,63,4,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
64,160,64,19,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
65,160,65,21,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
66,160,66,27,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
67,160,67,30,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
68,160,68,89,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
69,160,69,29,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
70,359,70,1,G,1,2025-2026,espn_summary,2026-08-12 10:06:49
71,359,71,6,CD-L,1,2025-2026,espn_summary,2026-08-12 10:06:49
72,359,72,2,CD-R,1,2025-2026,espn_summary,2026-08-12 10:06:49
73,359,73,5,LB,1,2025-2026,espn_summary,2026-08-12 10:06:49
74,359,74,3,RB,1,2025-2026,espn_summary,2026-08-12 10:06:49
75,359,75,7,AM,1,2025-2026,espn_summary,2026-08-12 10:06:49
76,359,76,41,LM,1,2025-2026,espn_summary,2026-08-12 10:06:49
77,359,77,49,RM,1,2025-2026,espn_summary,2026-08-12 10:06:49
78,359,78,29,F,1,2025-2026,espn_summary,2026-08-12 10:06:49
79,359,79,19,AM-L,1,2025-2026,espn_summary,2026-08-12 10:06:49
80,359,80,8,AM-R,1,2025-2026,espn_summary,2026-08-12 10:06:49
81,359,81,9,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
82,359,82,12,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
83,359,83,16,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
84,359,84,23,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
85,359,85,11,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
86,359,86,20,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
87,359,87,14,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
88,359,88,10,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
89,359,89,56,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
90,359,90,33,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
91,359,91,13,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
92,359,92,36,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:49
139,384,139,1,G,1,2025-2026,espn_summary,2026-08-12 10:06:50
140,384,140,5,CD,1,2025-2026,espn_summary,2026-08-12 10:06:50
141,384,141,23,CD-L,1,2025-2026,espn_summary,2026-08-12 10:06:50
142,384,142,34,CD-R,1,2025-2026,espn_summary,2026-08-12 10:06:50
143,384,143,18,CM-L,1,2025-2026,espn_summary,2026-08-12 10:06:50
144,384,144,20,CM-R,1,2025-2026,espn_summary,2026-08-12 10:06:50
145,384,145,3,LM,1,2025-2026,espn_summary,2026-08-12 10:06:50
146,384,146,2,RM,1,2025-2026,espn_summary,2026-08-12 10:06:50
147,384,147,14,F,1,2025-2026,espn_summary,2026-08-12 10:06:50
148,384,148,10,CF-L,1,2025-2026,espn_summary,2026-08-12 10:06:50
149,384,149,7,CF-R,1,2025-2026,espn_summary,2026-08-12 10:06:50
150,384,150,22,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
151,384,151,24,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
152,384,152,26,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
153,384,153,31,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
154,384,154,8,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
155,384,155,11,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
156,384,156,19,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
157,384,157,29,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
158,384,158,55,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
159,384,159,17,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
160,384,160,59,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
161,384,161,44,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
162,101,162,13,G,1,2025-2026,espn_summary,2026-08-12 10:06:50
163,101,163,24,CD-L,1,2025-2026,espn_summary,2026-08-12 10:06:50
164,101,164,6,CD-R,1,2025-2026,espn_summary,2026-08-12 10:06:50
165,101,165,3,LB,1,2025-2026,espn_summary,2026-08-12 10:06:50
166,101,166,2,RB,1,2025-2026,espn_summary,2026-08-12 10:06:50
167,101,167,7,AM,1,2025-2026,espn_summary,2026-08-12 10:06:50
168,101,168,23,LM,1,2025-2026,espn_summary,2026-08-12 10:06:50
169,101,169,17,RM,1,2025-2026,espn_summary,2026-08-12 10:06:50
170,101,170,9,F,1,2025-2026,espn_summary,2026-08-12 10:06:50
171,101,171,18,AM-L,1,2025-2026,espn_summary,2026-08-12 10:06:50
172,101,172,19,AM-R,1,2025-2026,espn_summary,2026-08-12 10:06:50
173,101,173,32,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
174,101,174,8,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
175,101,175,22,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
176,101,176,4,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
177,101,177,1,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
178,101,178,10,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
179,101,179,20,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
180,101,180,12,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
181,101,181,30,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
182,101,182,15,SUB,0,2025-2026,espn_summary,2026-08-12 10:06:50
183,3263,183,1,G,1,2025-2026,espn_summary,2026-08-12 10:09:02
184,3263,184,5,CD,1,2025-2026,espn_summary,2026-08-12 10:09:02
185,3263,185,22,CD-L,1,2025-2026,espn_summary,2026-08-12 10:09:02
186,3263,186,34,CD-R,1,2025-2026,espn_summary,2026-08-12 10:09:02
187,3263,187,2,CM-L,1,2025-2026,espn_summary,2026-08-12 10:09:02
188,3263,188,17,CM-R,1,2025-2026,espn_summary,2026-08-12 10:09:02
189,3263,189,32,AM,1,2025-2026,espn_summary,2026-08-12 10:09:02
190,3263,190,3,LM,1,2025-2026,espn_summary,2026-08-12 10:09:02
191,3263,191,15,RM,1,2025-2026,espn_summary,2026-08-12 10:09:02
192,3263,192,9,CF-L,1,2025-2026,espn_summary,2026-08-12 10:09:02
193,3263,193,29,CF-R,1,2025-2026,espn_summary,2026-08-12 10:09:02
194,3263,194,20,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
195,3263,195,77,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
196,3263,196,8,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
197,3263,197,21,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
198,3263,198,40,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
199,3263,199,76,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
200,3263,200,27,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
201,3263,201,73,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
202,3263,202,18,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
203,3263,203,30,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
204,3263,204,23,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
205,3263,205,39,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
206,3263,206,35,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
207,3956,207,1,G,1,2025-2026,espn_summary,2026-08-12 10:09:02
208,3956,208,39,CD,1,2025-2026,espn_summary,2026-08-12 10:09:02
209,3956,209,94,CD-L,1,2025-2026,espn_summary,2026-08-12 10:09:02
210,3956,210,5,CD-R,1,2025-2026,espn_summary,2026-08-12 10:09:02
211,3956,211,8,CM-L,1,2025-2026,espn_summary,2026-08-12 10:09:02
212,3956,212,7,CM-R,1,2025-2026,espn_summary,2026-08-12 10:09:02
213,3956,213,20,AM,1,2025-2026,espn_summary,2026-08-12 10:09:02
214,3956,214,3,LM,1,2025-2026,espn_summary,2026-08-12 10:09:02
215,3956,215,15,RM,1,2025-2026,espn_summary,2026-08-12 10:09:02
216,3956,216,9,CF-L,1,2025-2026,espn_summary,2026-08-12 10:09:02
217,3956,217,32,CF-R,1,2025-2026,espn_summary,2026-08-12 10:09:02
218,3956,218,44,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
219,3956,219,76,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
220,3956,220,6,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
221,3956,221,4,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
222,3956,222,42,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
223,3956,223,18,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
224,3956,224,36,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
225,3956,225,10,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
226,3956,226,22,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
227,3956,227,16,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
228,3956,228,26,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
229,3956,229,99,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
230,3956,230,19,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
231,3956,231,33,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
232,3956,232,12,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:02
233,166,233,1,G,1,2025-2026,espn_summary,2026-08-12 10:09:03
234,166,234,18,CD,1,2025-2026,espn_summary,2026-08-12 10:09:03
235,166,235,23,CD-L,1,2025-2026,espn_summary,2026-08-12 10:09:03
236,166,236,3,CD-R,1,2025-2026,espn_summary,2026-08-12 10:09:03
237,166,237,15,LB,1,2025-2026,espn_summary,2026-08-12 10:09:03
238,166,238,22,RB,1,2025-2026,espn_summary,2026-08-12 10:09:03
239,166,239,32,CM-L,1,2025-2026,espn_summary,2026-08-12 10:09:03
240,166,240,17,CM-R,1,2025-2026,espn_summary,2026-08-12 10:09:03
241,166,241,7,LM,1,2025-2026,espn_summary,2026-08-12 10:09:03
242,166,242,8,RM,1,2025-2026,espn_summary,2026-08-12 10:09:03
243,166,243,9,F,1,2025-2026,espn_summary,2026-08-12 10:09:03
244,166,244,35,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:03
245,166,245,14,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:03
246,166,246,33,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:03
247,166,247,42,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:03
248,166,248,4,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:03
249,166,249,27,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:03
250,166,250,16,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:03
251,166,251,24,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:03
252,166,252,12,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:03
253,180,253,39,G,1,2025-2026,espn_summary,2026-08-12 10:09:03
254,180,254,6,CD-L,1,2025-2026,espn_summary,2026-08-12 10:09:03
255,180,255,23,CD-R,1,2025-2026,espn_summary,2026-08-12 10:09:03
256,180,256,3,LB,1,2025-2026,espn_summary,2026-08-12 10:09:03
257,180,257,22,RB,1,2025-2026,espn_summary,2026-08-12 10:09:03
258,180,258,19,AM,1,2025-2026,espn_summary,2026-08-12 10:09:03
259,180,259,29,LM,1,2025-2026,espn_summary,2026-08-12 10:09:03
260,180,260,32,RM,1,2025-2026,espn_summary,2026-08-12 10:09:03
261,180,261,9,F,1,2025-2026,espn_summary,2026-08-12 10:09:03
262,180,262,20,AM-L,1,2025-2026,espn_summary,2026-08-12 10:09:03
263,180,263,7,AM-R,1,2025-2026,espn_summary,2026-08-12 10:09:03
264,180,264,1,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:03
265,180,265,42,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:03
266,180,266,24,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:03
267,180,267,25,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:03
268,180,268,16,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:03
269,180,269,2,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:03
270,180,270,83,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:03
271,180,271,27,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:03
272,180,272,11,SUB,0,2025-2026,espn_summary,2026-08-12 10:09:03
273,132,273,1,G,1,2025-2026,espn_summary,2026-08-12 10:09:04
274,132,274,3,CD-L,1,2025-2026,espn_summary,2026-08-12 10:09:04
275,132,275,2,CD-R,1,2025-2026,espn_summary,2026-08-12 10:09:04
276,132,276,20,LB,1,2025-2026,espn_summary,2026-08-12 10:09:04
277,132,277,27,RB,1,2025-2026,espn_summary,2026-08-12 10:09:04
278,132,278,10,AM,1,2025-2026,espn_summary,2026-08-12 10:09:04
279,132,279,8,LM,1,2025-2026,espn_summary,2026-08-12 10:09:04
280,132,280,6,RM,1,2025-2026,espn_summary,2026-08-12 10:09:04
