team_name,team_name_en,team_name_cn,league,d82_total_value,d83_starter_value,d82_unit,data_source,fetched_at
1. FC Heidenheim 1846,1. FC Heidenheim 1846,1. FC Heidenheim 1846,ger.1,67500000.0,13000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
1. FC Kaiserslautern,1. FC Kaiserslautern,1. FC Kaiserslautern,ger.2,41174999.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
1. FC Köln,1. FC Köln,1. FC Köln,ger.1,102880000.0,42625000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
1. FC Magdeburg,1. FC Magdeburg,1. FC Magdeburg,ger.2,44520000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
1. FC Nürnberg,1. FC Nürnberg,1. FC Nürnberg,ger.2,48450000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
1. FC Saarbrücken,1. FC Saarbrücken,1. FC Saarbrücken,ger.3,22710000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
1. FC Schweinfurt 05,1. FC Schweinfurt 05,1. FC Schweinfurt 05,ger.3,14740000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
1. FC Union Berlin,1. FC Union Berlin,1. FC Union Berlin,ger.1,131525000.0,70000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
1. FSV Mainz 05,1. FSV Mainz 05,1. FSV Mainz 05,ger.1,184185000.0,145300000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
AC Milan,AC Milan,AC Milan,ita.1,474525000.0,460100000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
AD Ceuta FC,AD Ceuta FC,AD Ceuta FC,esp.2,21805000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
AEK Athens,AEK Athens,AEK Athens,sui.1,123599999.0,73500000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
AFC Bournemouth,AFC Bournemouth,AFC Bournemouth,eng.1,295300000.0,248000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
AFC Wimbledon,AFC Wimbledon,AFC Wimbledon,eng.3,11785000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
AJ Auxerre,AJ Auxerre,AJ Auxerre,fra.1,72650000.0,3700000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
APOEL FC,APOEL FC,APOEL FC,1._Division,32700000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
AS Monaco,AS Monaco,AS Monaco,fra.1,311750000.0,285900000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
AS Nancy Lorraine,AS Nancy Lorraine,AS Nancy Lorraine,fra.2,14160000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
