city_country,city,country,lat,lon,elevation_m,fetched_at
England|Falmer,Falmer,England,50.86529,-0.07733,97.0,2026-07-20T01:03:06.704370+00:00
Spain|Elche,Elche,Spain,38.26218,-0.70107,96.0,2026-07-20T01:03:06.704370+00:00
France|Paris,Paris,France,48.85341,2.3488,42.0,2026-07-20T01:03:06.704370+00:00
Germany|Stuttgart,Stuttgart,Germany,48.78232,9.17702,252.0,2026-07-20T01:03:06.704370+00:00
Italy|Cremona,Cremona,Italy,45.13325,10.02129,45.0,2026-07-20T01:03:06.704370+00:00
England|Liverpool,Liverpool,England,53.41058,-2.97794,30.0,2026-07-20T01:03:06.704370+00:00
England|Birmingham,Birmingham,England,52.48142,-1.89983,149.0,2026-07-20T01:03:06.704370+00:00
England|Sunderland,Sunderland,England,54.90465,-1.38222,36.0,2026-07-20T01:03:06.704370+00:00
England|London,London,England,51.50853,-0.12574,25.0,2026-07-20T01:03:06.704370+00:00
England|Wolverhampton,Wolverhampton,England,52.58547,-2.12296,160.0,2026-07-20T01:03:06.704370+00:00
England|Nottingham,Nottingham,England,52.9536,-1.15047,46.0,2026-07-20T01:03:06.704370+00:00
England|Manchester,Manchester,England,53.48095,-2.23743,51.0,2026-07-20T01:03:06.704370+00:00
England|Leeds,Leeds,England,53.79648,-1.54785,50.0,2026-07-20T01:03:06.704370+00:00
England|Bournemouth,Bournemouth,England,50.72048,-1.8795,19.0,2026-07-20T01:03:06.704370+00:00
England|Burnley,Burnley,England,53.8,-2.23333,140.0,2026-07-20T01:03:06.704370+00:00
England|Newcastle-upon-Tyne,Newcastle-upon-Tyne,England,,,,2026-07-20T01:03:06.704370+00:00
England|Brentford,Brentford,England,45.16025,-98.32287,396.0,2026-07-20T01:03:06.704370+00:00
Spain|Girona,Girona,Spain,41.98311,2.82493,81.0,2026-07-20T01:03:06.704370+00:00
Spain|Villarreal,Villarreal,Spain,38.72572,-7.21533,42.0,2026-07-20T01:03:06.704370+00:00
Spain|Palma de Mallorca,Palma de Mallorca,Spain,18.72917,-91.65694,1.0,2026-07-20T01:03:06.704370+00:00
Spain|Vitoria-Gasteiz,Vitoria-Gasteiz,Spain,42.84998,-2.67268,547.0,2026-07-20T01:03:06.704370+00:00
Spain|Manises,Manises,Spain,39.49139,-0.46349,55.0,2026-07-20T01:03:06.704370+00:00
Spain|Vigo,Vigo,Spain,42.23282,-8.72264,86.0,2026-07-20T01:03:06.704370+00:00
Spain|Bilbao,Bilbao,Spain,43.26271,-2.92528,20.0,2026-07-20T01:03:06.704370+00:00
Spain|Barcelona,Barcelona,Spain,41.38879,2.15899,15.0,2026-07-20T01:03:06.704370+00:00
Spain|Madrid,Madrid,Spain,40.4165,-3.70256,665.0,2026-07-20T01:03:06.704370+00:00
Spain|Sevilla,Sevilla,Spain,37.38283,-5.97317,16.0,2026-07-20T01:03:06.704370+00:00
Spain|Pamplona,Pamplona,Spain,42.81687,-1.64323,460.0,2026-07-20T01:03:06.704370+00:00
Spain|San Sebastian,San Sebastian,Spain,18.33662,-66.99018,77.0,2026-07-20T01:03:06.704370+00:00
Spain|Oviedo,Oviedo,Spain,43.36029,-5.84476,237.0,2026-07-20T01:03:06.704370+00:00
Spain|Getafe,Getafe,Spain,40.30571,-3.73295,623.0,2026-07-20T01:03:06.704370+00:00
"Spain|Leganés, Madrid","Leganés, Madrid",Spain,,,,2026-07-20T01:03:06.704370+00:00
France|Rennes,Rennes,France,48.11109,-1.67431,39.0,2026-07-20T01:03:06.704370+00:00
France|Lens,Lens,France,50.43302,2.82791,37.0,2026-07-20T01:03:06.704370+00:00
France|Monaco,Monaco,France,43.73718,7.42145,9999.0,2026-07-20T01:03:06.704370+00:00
France|Nice,Nice,France,43.70313,7.26608,25.0,2026-07-20T01:03:06.704370+00:00
France|Brest,Brest,France,52.10894,23.71749,144.0,2026-07-20T01:03:06.704370+00:00
France|Auxerre,Auxerre,France,47.7996,3.57033,120.0,2026-07-20T01:03:06.704370+00:00
France|Angers,Angers,France,47.47156,-0.55202,42.0,2026-07-20T01:03:06.704370+00:00
France|Metz,Metz,France,49.11911,6.17269,182.0,2026-07-20T01:03:06.704370+00:00
France|Nantes,Nantes,France,47.21725,-1.55336,19.0,2026-07-20T01:03:06.704370+00:00
France|Marseille,Marseille,France,43.29695,5.38107,28.0,2026-07-20T01:03:06.704370+00:00
France|Lyon,Lyon,France,45.74906,4.84789,173.0,2026-07-20T01:03:06.704370+00:00
France|Lorient,Lorient,France,47.74817,-3.37177,10.0,2026-07-20T01:03:06.704370+00:00
